method,split,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
capability_map_tamp,combined_extreme,480,0.52986,0.01777,0.11910,0.01160,0.17778,0.01419,0.42569,0.01816,0.19444,0.01469,0.15000,0.01309,0.00139,0.00136,0.52685,0.00426,0.24680,0.00827,0.25501,0.00145,0.00850,0.02432
capability_map_tamp,delayed_human_feedback,480,0.59826,0.01787,0.07674,0.01004,0.14688,0.01279,0.41181,0.01797,0.11146,0.01173,0.10729,0.01223,0.00243,0.00179,0.51879,0.00382,0.15793,0.00856,0.23884,0.00138,0.19320,0.02450
capability_map_tamp,false_clarification_shift,480,0.54132,0.01725,0.07951,0.01028,0.15590,0.01312,0.39757,0.01805,0.13090,0.01254,0.08924,0.01089,0.00347,0.00213,0.46367,0.00388,0.17477,0.00846,0.24341,0.00136,0.13222,0.02324
capability_map_tamp,intent_ambiguity_shift,480,0.59028,0.01819,0.05208,0.00809,0.11042,0.01135,0.37361,0.01779,0.09861,0.01156,0.07500,0.00970,0.00521,0.00260,0.36088,0.00349,0.12801,0.00719,0.23547,0.00127,0.26462,0.02299
capability_map_tamp,nominal,480,0.66389,0.01810,0.02847,0.00602,0.08750,0.01010,0.29340,0.01654,0.07778,0.00952,0.04688,0.00803,0.00382,0.00223,0.28394,0.00278,0.07589,0.00592,0.21586,0.00115,0.42544,0.02098
capability_map_tamp,overtrust_safety_shift,480,0.57257,0.01766,0.12049,0.01242,0.13576,0.01325,0.38993,0.01776,0.19687,0.01457,0.13056,0.01277,0.00347,0.00213,0.44612,0.00386,0.24358,0.00890,0.24928,0.00134,0.08961,0.02390
conformal_intent_risk_filter,burden_sensitive_shift,480,0.59062,0.01752,0.07431,0.00984,0.26354,0.01681,0.33125,0.01641,0.12153,0.01216,0.05486,0.00840,0.00139,0.00136,0.67584,0.00723,0.13698,0.00887,0.21699,0.00132,0.16608,0.02307
conformal_intent_risk_filter,capability_shift,480,0.63681,0.01769,0.09028,0.01088,0.18681,0.01354,0.28403,0.01601,0.16667,0.01383,0.06146,0.00882,0.00174,0.00152,0.56576,0.00661,0.16047,0.00949,0.21465,0.00130,0.23015,0.02420
conformal_intent_risk_filter,combined_extreme,480,0.55833,0.01749,0.11944,0.01163,0.30694,0.01713,0.36076,0.01745,0.21563,0.01501,0.09514,0.01139,0.00208,0.00166,0.78067,0.00817,0.21981,0.00907,0.22962,0.00143,-0.00559,0.02488
conformal_intent_risk_filter,delayed_human_feedback,480,0.60069,0.01891,0.06458,0.00893,0.28229,0.01685,0.33924,0.01694,0.11875,0.01181,0.06250,0.00920,0.00243,0.00179,0.74766,0.00728,0.11747,0.00821,0.21383,0.00140,0.17144,0.02338
conformal_intent_risk_filter,false_clarification_shift,480,0.59236,0.01901,0.08924,0.01050,0.28472,0.01692,0.32396,0.01791,0.14618,0.01303,0.05937,0.00878,0.00174,0.00152,0.69530,0.00740,0.15229,0.00937,0.21802,0.00133,0.13117,0.02539
conformal_intent_risk_filter,intent_ambiguity_shift,480,0.63715,0.01797,0.05833,0.00854,0.19236,0.01404,0.29965,0.01736,0.10486,0.01160,0.04097,0.00774,0.00139,0.00136,0.56877,0.00658,0.10090,0.00821,0.20865,0.00127,0.29161,0.02168
conformal_intent_risk_filter,nominal,480,0.67049,0.01793,0.03438,0.00710,0.14306,0.01318,0.22257,0.01485,0.07604,0.01040,0.01979,0.00511,0.00069,0.00096,0.45477,0.00524,0.04978,0.00716,0.18961,0.00119,0.42678,0.02271
conformal_intent_risk_filter,overtrust_safety_shift,480,0.61389,0.01841,0.12049,0.01219,0.25243,0.01502,0.30729,0.01698,0.18958,0.01482,0.10243,0.01156,0.00243,0.00179,0.67910,0.00744,0.21616,0.00953,0.22317,0.00131,0.10712,0.02631
human_model_mpc,burden_sensitive_shift,480,0.59340,0.01779,0.13646,0.01206,0.21076,0.01451,0.30104,0.01614,0.19687,0.01522,0.03958,0.00749,0.00208,0.00166,0.60510,0.00589,0.24438,0.00886,0.21471,0.00154,0.10713,0.02646
human_model_mpc,capability_shift,480,0.61493,0.01816,0.12187,0.01204,0.15903,0.01326,0.24653,0.01640,0.23090,0.01617,0.03889,0.00733,0.00417,0.00233,0.50103,0.00537,0.24367,0.00855,0.21478,0.00154,0.17723,0.02535
human_model_mpc,combined_extreme,480,0.55937,0.01813,0.17222,0.01395,0.24653,0.01606,0.34028,0.01783,0.26319,0.01634,0.08333,0.01042,0.00382,0.00223,0.70051,0.00667,0.30794,0.00853,0.22730,0.00173,-0.04390,0.02645
human_model_mpc,delayed_human_feedback,480,0.61806,0.01847,0.12847,0.01220,0.22535,0.01498,0.31597,0.01733,0.17535,0.01425,0.03854,0.00719,0.00313,0.00202,0.67560,0.00596,0.22905,0.00921,0.21031,0.00154,0.13496,0.02496
human_model_mpc,false_clarification_shift,480,0.58958,0.01850,0.12639,0.01164,0.22396,0.01551,0.31528,0.01745,0.19132,0.01478,0.04271,0.00781,0.00694,0.00298,0.62249,0.00605,0.24001,0.00850,0.21565,0.00157,0.10279,0.02583
human_model_mpc,intent_ambiguity_shift,480,0.63264,0.01787,0.10278,0.01135,0.15556,0.01252,0.27500,0.01528,0.15972,0.01361,0.01875,0.00509,0.00208,0.00192,0.50451,0.00535,0.20182,0.00874,0.20806,0.00147,0.24542,0.02354
human_model_mpc,nominal,480,0.67743,0.01741,0.07326,0.00959,0.10764,0.01187,0.22361,0.01562,0.13368,0.01271,0.00799,0.00333,0.00035,0.00068,0.40459,0.00427,0.14950,0.00818,0.18973,0.00132,0.38382,0.02265
human_model_mpc,overtrust_safety_shift,480,0.60139,0.01920,0.17500,0.01443,0.19722,0.01526,0.29896,0.01719,0.26250,0.01579,0.08611,0.01042,0.00278,0.00191,0.60674,0.00606,0.30653,0.00886,0.22237,0.00162,0.03687,0.02802
intent_only_follower,burden_sensitive_shift,480,0.47639,0.01831,0.20868,0.01503,0.08681,0.00991,0.35174,0.01712,0.29965,0.01687,0.11493,0.01212,0.01840,0.00497,0.32482,0.00137,0.37052,0.00702,0.33855,0.00269,-0.10780,0.02768
intent_only_follower,capability_shift,480,0.50104,0.01799,0.21007,0.01554,0.05000,0.00791,0.30799,0.01693,0.33889,0.01674,0.11389,0.01156,0.01979,0.00511,0.24770,0.00134,0.37873,0.00674,0.33970,0.00267,-0.06587,0.02780
intent_only_follower,combined_extreme,480,0.41979,0.01807,0.25347,0.01594,0.09444,0.01033,0.40174,0.01750,0.37951,0.01761,0.15729,0.01358,0.02014,0.00505,0.38063,0.00148,0.41875,0.00564,0.35814,0.00305,-0.28425,0.02797
intent_only_follower,delayed_human_feedback,480,0.49965,0.01862,0.21389,0.01516,0.07639,0.01013,0.36424,0.01806,0.30521,0.01741,0.10382,0.01096,0.01771,0.00489,0.39354,0.00136,0.36493,0.00738,0.33061,0.00267,-0.09194,0.02699
intent_only_follower,false_clarification_shift,480,0.48819,0.01848,0.21007,0.01542,0.10312,0.01105,0.37188,0.01736,0.29965,0.01668,0.11563,0.01207,0.01701,0.00472,0.33629,0.00139,0.37289,0.00705,0.33957,0.00274,-0.11263,0.02740
intent_only_follower,intent_ambiguity_shift,480,0.50521,0.01834,0.19201,0.01419,0.07187,0.00898,0.33785,0.01644,0.28194,0.01724,0.09375,0.01090,0.01597,0.00470,0.25282,0.00127,0.34789,0.00729,0.32811,0.00249,-0.03097,0.02697
intent_only_follower,nominal,480,0.57118,0.01822,0.15104,0.01340,0.05937,0.00878,0.26632,0.01671,0.25347,0.01586,0.07222,0.00982,0.01597,0.00517,0.20687,0.00114,0.30409,0.00774,0.30064,0.00218,0.13179,0.02495
intent_only_follower,overtrust_safety_shift,480,0.45729,0.01822,0.24722,0.01671,0.07847,0.00958,0.36632,0.01750,0.38715,0.01837,0.16146,0.01363,0.01771,0.00489,0.31768,0.00141,0.41386,0.00583,0.35105,0.00285,-0.22093,0.02813
inverse_rl_intent_pomdp,burden_sensitive_shift,480,0.58819,0.01752,0.15035,0.01339,0.21736,0.01541,0.28750,0.01654,0.23472,0.01598,0.03472,0.00692,0.00243,0.00179,0.57863,0.00542,0.27430,0.00892,0.22898,0.00184,0.07354,0.02598
inverse_rl_intent_pomdp,capability_shift,480,0.61424,0.01802,0.15278,0.01254,0.14792,0.01241,0.25556,0.01516,0.25938,0.01664,0.03993,0.00713,0.00347,0.00213,0.47869,0.00490,0.28416,0.00804,0.22983,0.00183,0.13234,0.02496
inverse_rl_intent_pomdp,combined_extreme,480,0.55764,0.01884,0.18576,0.01420,0.25347,0.01638,0.31944,0.01732,0.28646,0.01700,0.08993,0.01009,0.00556,0.00268,0.66954,0.00609,0.33410,0.00774,0.24269,0.00203,-0.06791,0.02653
inverse_rl_intent_pomdp,delayed_human_feedback,480,0.59931,0.01755,0.13056,0.01244,0.20625,0.01443,0.29236,0.01698,0.20000,0.01475,0.03958,0.00737,0.00278,0.00191,0.65014,0.00541,0.25003,0.00871,0.22392,0.00179,0.12027,0.02473
inverse_rl_intent_pomdp,false_clarification_shift,480,0.58785,0.01792,0.13993,0.01239,0.24306,0.01648,0.29931,0.01615,0.22187,0.01551,0.03924,0.00766,0.00660,0.00291,0.59583,0.00547,0.26923,0.00831,0.22993,0.00187,0.07109,0.02545
inverse_rl_intent_pomdp,intent_ambiguity_shift,480,0.62639,0.01718,0.12847,0.01269,0.14479,0.01326,0.27743,0.01667,0.18715,0.01458,0.01840,0.00497,0.00313,0.00202,0.48060,0.00489,0.24048,0.00911,0.22211,0.00174,0.20326,0.02463
inverse_rl_intent_pomdp,nominal,480,0.67500,0.01675,0.08715,0.00987,0.11597,0.01131,0.20069,0.01502,0.16354,0.01347,0.01319,0.00457,0.00417,0.00233,0.38763,0.00395,0.18329,0.00790,0.20244,0.00154,0.35480,0.02284
inverse_rl_intent_pomdp,overtrust_safety_shift,480,0.56979,0.01801,0.18194,0.01393,0.19410,0.01502,0.28090,0.01701,0.29167,0.01592,0.08889,0.01027,0.00382,0.00223,0.58002,0.00553,0.32775,0.00781,0.23759,0.00193,-0.00770,0.02688
language_affordance_planner,burden_sensitive_shift,480,0.51632,0.01831,0.17917,0.01447,0.15590,0.01401,0.35451,0.01757,0.25590,0.01654,0.10486,0.01164,0.00972,0.00363,0.43871,0.00288,0.32239,0.00828,0.29806,0.00213,-0.04917,0.02628
language_affordance_planner,capability_shift,480,0.55347,0.01808,0.18160,0.01428,0.10764,0.01064,0.31424,0.01692,0.28924,0.01668,0.10104,0.01153,0.01111,0.00372,0.35152,0.00258,0.33045,0.00786,0.29751,0.00211,0.01202,0.02676
language_affordance_planner,combined_extreme,480,0.47535,0.01871,0.20938,0.01486,0.17604,0.01351,0.39826,0.01771,0.33264,0.01790,0.14688,0.01335,0.01389,0.00434,0.50922,0.00326,0.37206,0.00690,0.31563,0.00237,-0.19812,0.02616
language_affordance_planner,delayed_human_feedback,480,0.52326,0.01805,0.16701,0.01305,0.15174,0.01323,0.36597,0.01805,0.23924,0.01548,0.10556,0.01143,0.01285,0.00432,0.50726,0.00291,0.30667,0.00776,0.29212,0.00212,-0.02769,0.02435
language_affordance_planner,false_clarification_shift,480,0.50660,0.01748,0.16285,0.01384,0.16007,0.01332,0.38021,0.01837,0.26007,0.01697,0.10104,0.01100,0.01771,0.00480,0.45161,0.00295,0.31468,0.00798,0.29915,0.00215,-0.05521,0.02564
language_affordance_planner,intent_ambiguity_shift,480,0.55451,0.01902,0.14861,0.01231,0.11111,0.01125,0.35104,0.01812,0.21181,0.01528,0.08403,0.01090,0.01493,0.00448,0.35556,0.00260,0.28736,0.00775,0.28883,0.00198,0.07273,0.02638
language_affordance_planner,nominal,480,0.59028,0.01762,0.11667,0.01209,0.08854,0.01054,0.28576,0.01577,0.18819,0.01467,0.05729,0.00830,0.01389,0.00434,0.29132,0.00209,0.24189,0.00833,0.26289,0.00176,0.19878,0.02448
language_affordance_planner,overtrust_safety_shift,480,0.50799,0.01763,0.19861,0.01527,0.15694,0.01397,0.36042,0.01773,0.32257,0.01754,0.14861,0.01329,0.00972,0.00350,0.43451,0.00292,0.36455,0.00715,0.30786,0.00221,-0.12327,0.02734
oracle_joint_intent_capability_planner,burden_sensitive_shift,480,0.80104,0.01466,0.03090,0.00662,0.25278,0.01615,0.20000,0.01469,0.06701,0.00947,0.00243,0.00179,0.00174,0.00152,0.84848,0.01035,0.03287,0.00666,0.00000,0.00000,0.50810,0.01941
oracle_joint_intent_capability_planner,capability_shift,480,0.84028,0.01323,0.04375,0.00743,0.16562,0.01418,0.16806,0.01352,0.08611,0.01060,0.00278,0.00191,0.00104,0.00118,0.72141,0.00941,0.04839,0.00755,0.00000,0.00000,0.58237,0.01722
oracle_joint_intent_capability_planner,combined_extreme,480,0.78160,0.01484,0.06736,0.00923,0.33368,0.01791,0.24618,0.01620,0.13576,0.01268,0.01354,0.00451,0.00069,0.00096,0.98102,0.01171,0.09634,0.00925,0.00000,0.00000,0.35421,0.01977
oracle_joint_intent_capability_planner,delayed_human_feedback,480,0.81493,0.01431,0.02326,0.00577,0.28819,0.01673,0.20972,0.01621,0.05104,0.00800,0.00208,0.00166,0.00139,0.00136,0.92360,0.01045,0.02361,0.00576,0.00000,0.00000,0.51415,0.01820
oracle_joint_intent_capability_planner,false_clarification_shift,480,0.80451,0.01497,0.03403,0.00667,0.29583,0.01736,0.22257,0.01434,0.06597,0.00931,0.00347,0.00234,0.00174,0.00152,0.87308,0.01057,0.03674,0.00676,0.00000,0.00000,0.47929,0.01896
oracle_joint_intent_capability_planner,intent_ambiguity_shift,480,0.84375,0.01386,0.01979,0.00529,0.16215,0.01360,0.19931,0.01504,0.03507,0.00674,0.00347,0.00213,0.00035,0.00068,0.72398,0.00937,0.01981,0.00529,0.00000,0.00000,0.62515,0.01657
oracle_joint_intent_capability_planner,nominal,480,0.86493,0.01274,0.00417,0.00233,0.10035,0.01138,0.12465,0.01235,0.01424,0.00470,0.00243,0.00179,0.00104,0.00118,0.57262,0.00746,0.00417,0.00233,0.00000,0.00000,0.73490,0.01514
oracle_joint_intent_capability_planner,overtrust_safety_shift,480,0.80417,0.01412,0.06215,0.00915,0.22743,0.01594,0.21424,0.01565,0.13403,0.01263,0.00972,0.00363,0.00104,0.00118,0.85979,0.01064,0.08750,0.00913,0.00000,0.00000,0.45060,0.02001
proposed_affordance_negotiation_v4,burden_sensitive_shift,480,0.63819,0.01782,0.08958,0.01063,0.27465,0.01651,0.28576,0.01643,0.15382,0.01332,0.02083,0.00564,0.00903,0.00338,0.77405,0.00821,0.17083,0.00899,0.17076,0.00106,0.19525,0.02379
proposed_affordance_negotiation_v4,capability_shift,480,0.67639,0.01756,0.10104,0.01157,0.18403,0.01411,0.23021,0.01516,0.17153,0.01345,0.02292,0.00566,0.00417,0.00270,0.65823,0.00754,0.18921,0.00945,0.16997,0.00101,0.28003,0.02404
proposed_affordance_negotiation_v4,combined_extreme,480,0.61111,0.01719,0.13264,0.01289,0.32118,0.01641,0.30312,0.01687,0.21354,0.01588,0.06146,0.00866,0.00729,0.00320,0.88823,0.00935,0.24709,0.00936,0.18047,0.00116,0.04889,0.02664
proposed_affordance_negotiation_v4,delayed_human_feedback,480,0.66250,0.01776,0.07500,0.00926,0.29583,0.01747,0.28993,0.01708,0.13576,0.01253,0.01910,0.00539,0.00521,0.00260,0.84749,0.00828,0.14719,0.00816,0.16904,0.00106,0.23041,0.02248
proposed_affordance_negotiation_v4,false_clarification_shift,480,0.63785,0.01759,0.09236,0.01026,0.29896,0.01622,0.29306,0.01740,0.15208,0.01322,0.02396,0.00636,0.00972,0.00375,0.79581,0.00841,0.17577,0.00861,0.17189,0.00106,0.17663,0.02286
proposed_affordance_negotiation_v4,intent_ambiguity_shift,480,0.67812,0.01711,0.06528,0.00935,0.18125,0.01377,0.27153,0.01638,0.11736,0.01245,0.01389,0.00424,0.00313,0.00202,0.66145,0.00744,0.12854,0.00853,0.16586,0.00101,0.33555,0.02210
proposed_affordance_negotiation_v4,nominal,480,0.70833,0.01548,0.03958,0.00711,0.13333,0.01254,0.20312,0.01514,0.08924,0.01009,0.00521,0.00260,0.00451,0.00242,0.53512,0.00593,0.07594,0.00686,0.15209,0.00096,0.46235,0.01982
proposed_affordance_negotiation_v4,overtrust_safety_shift,480,0.63646,0.01804,0.12639,0.01234,0.25556,0.01682,0.27292,0.01645,0.21424,0.01505,0.05590,0.00864,0.00417,0.00233,0.78114,0.00848,0.23935,0.00907,0.17580,0.00107,0.12921,0.02558
risk_aware_shared_autonomy,burden_sensitive_shift,480,0.63194,0.01733,0.08021,0.00963,0.22569,0.01532,0.31389,0.01693,0.14132,0.01285,0.03542,0.00702,0.00174,0.00152,0.63959,0.00648,0.15691,0.00838,0.17984,0.00113,0.22197,0.02249
risk_aware_shared_autonomy,capability_shift,480,0.65764,0.01672,0.09167,0.01044,0.15208,0.01360,0.26111,0.01467,0.17431,0.01424,0.03854,0.00679,0.00174,0.00152,0.53331,0.00602,0.17582,0.00878,0.17953,0.00112,0.27712,0.02248
risk_aware_shared_autonomy,combined_extreme,480,0.59167,0.01796,0.12535,0.01263,0.27882,0.01728,0.35625,0.01869,0.19132,0.01475,0.08160,0.01033,0.00174,0.00152,0.74100,0.00738,0.23569,0.00941,0.19016,0.00120,0.05127,0.02440
risk_aware_shared_autonomy,delayed_human_feedback,480,0.66563,0.01642,0.07049,0.00971,0.23229,0.01616,0.33542,0.01784,0.13056,0.01274,0.03229,0.00664,0.00208,0.00166,0.71186,0.00661,0.13687,0.00866,0.17697,0.00113,0.25828,0.02242
risk_aware_shared_autonomy,false_clarification_shift,480,0.61389,0.01861,0.09514,0.01102,0.24861,0.01603,0.31597,0.01762,0.13542,0.01330,0.04931,0.00812,0.00347,0.00213,0.65886,0.00668,0.17116,0.00944,0.18118,0.00112,0.17359,0.02473
risk_aware_shared_autonomy,intent_ambiguity_shift,480,0.66458,0.01710,0.05312,0.00824,0.16354,0.01336,0.30069,0.01734,0.10069,0.01121,0.01944,0.00516,0.00104,0.00118,0.53663,0.00589,0.11171,0.00776,0.17435,0.00111,0.34604,0.02187
risk_aware_shared_autonomy,nominal,480,0.70764,0.01684,0.02951,0.00624,0.10729,0.01128,0.22674,0.01484,0.07639,0.01027,0.01111,0.00396,0.00347,0.00213,0.42931,0.00469,0.05969,0.00623,0.15872,0.00102,0.48635,0.02035
risk_aware_shared_autonomy,overtrust_safety_shift,480,0.63681,0.01751,0.10694,0.01087,0.20972,0.01559,0.31667,0.01693,0.20972,0.01592,0.07326,0.00997,0.00139,0.00136,0.64327,0.00667,0.22030,0.00826,0.18618,0.00112,0.16159,0.02389
risk_calibrated_collaborative_affordance_v5,burden_sensitive_shift,480,0.72569,0.01632,0.05174,0.00842,0.23854,0.01649,0.23229,0.01539,0.09306,0.01069,0.00486,0.00251,0.00278,0.00191,0.77956,0.00943,0.06188,0.00852,0.07515,0.00062,0.39577,0.02173
risk_calibrated_collaborative_affordance_v5,capability_shift,480,0.77049,0.01578,0.05417,0.00844,0.13924,0.01184,0.19965,0.01511,0.11111,0.01169,0.00451,0.00242,0.00243,0.00179,0.65734,0.00866,0.07081,0.00851,0.07503,0.00059,0.49309,0.02029
risk_calibrated_collaborative_affordance_v5,combined_extreme,480,0.71146,0.01705,0.08542,0.01055,0.28576,0.01776,0.27465,0.01600,0.14306,0.01300,0.02708,0.00644,0.00104,0.00118,0.90425,0.01069,0.13421,0.00994,0.07879,0.00062,0.27189,0.02373
risk_calibrated_collaborative_affordance_v5,delayed_human_feedback,480,0.74375,0.01614,0.03438,0.00723,0.26771,0.01644,0.26146,0.01629,0.07431,0.00960,0.00521,0.00260,0.00104,0.00118,0.85409,0.00946,0.03937,0.00731,0.07465,0.00064,0.41437,0.02071
risk_calibrated_collaborative_affordance_v5,false_clarification_shift,480,0.74097,0.01604,0.05174,0.00836,0.26736,0.01661,0.24861,0.01629,0.09062,0.01058,0.01076,0.00379,0.00104,0.00118,0.80224,0.00960,0.06356,0.00853,0.07554,0.00063,0.39064,0.02084
risk_calibrated_collaborative_affordance_v5,intent_ambiguity_shift,480,0.77604,0.01633,0.02882,0.00634,0.15451,0.01343,0.23403,0.01532,0.04375,0.00791,0.00278,0.00191,0.00174,0.00152,0.66002,0.00855,0.03072,0.00638,0.07373,0.00061,0.53804,0.02032
risk_calibrated_collaborative_affordance_v5,nominal,480,0.79340,0.01492,0.00903,0.00389,0.10139,0.01133,0.14444,0.01233,0.03160,0.00667,0.00347,0.00213,0.00104,0.00118,0.51862,0.00681,0.00903,0.00389,0.06786,0.00060,0.64552,0.01693
risk_calibrated_collaborative_affordance_v5,overtrust_safety_shift,480,0.74340,0.01567,0.07882,0.01032,0.23021,0.01594,0.23681,0.01582,0.15729,0.01317,0.02083,0.00530,0.00139,0.00136,0.78829,0.00979,0.12417,0.00986,0.07732,0.00063,0.35146,0.02153
robot_capability_only_planner,burden_sensitive_shift,480,0.44931,0.01880,0.14097,0.01283,0.09097,0.01088,0.45625,0.01911,0.20660,0.01495,0.15972,0.01347,0.01424,0.00417,0.30625,0.00111,0.28514,0.00799,0.36579,0.00194,-0.06748,0.02472
robot_capability_only_planner,capability_shift,480,0.49757,0.01834,0.14826,0.01277,0.06597,0.00901,0.42743,0.01769,0.23993,0.01644,0.18125,0.01387,0.01667,0.00448,0.22994,0.00105,0.29741,0.00768,0.36226,0.00185,-0.02284,0.02742
robot_capability_only_planner,combined_extreme,480,0.40903,0.01827,0.16944,0.01379,0.09792,0.01074,0.50521,0.01886,0.26597,0.01559,0.23785,0.01573,0.01667,0.00487,0.36078,0.00122,0.33973,0.00717,0.38462,0.00215,-0.21110,0.02601
robot_capability_only_planner,delayed_human_feedback,480,0.45799,0.01780,0.12674,0.01171,0.08715,0.01046,0.48681,0.01957,0.18194,0.01383,0.18194,0.01406,0.01597,0.00450,0.37440,0.00116,0.26554,0.00778,0.36086,0.00199,-0.05077,0.02382
robot_capability_only_planner,false_clarification_shift,480,0.45382,0.01821,0.14688,0.01397,0.08750,0.01055,0.48576,0.01817,0.20312,0.01442,0.19062,0.01444,0.01979,0.00511,0.31704,0.00114,0.29060,0.00857,0.36705,0.00199,-0.08673,0.02701
robot_capability_only_planner,intent_ambiguity_shift,480,0.45694,0.01680,0.11597,0.01226,0.06736,0.00933,0.46007,0.01817,0.16424,0.01350,0.16285,0.01336,0.01424,0.00428,0.23524,0.00108,0.25055,0.00829,0.35599,0.00184,-0.00107,0.02365
robot_capability_only_planner,nominal,480,0.54653,0.01808,0.08472,0.01001,0.05174,0.00808,0.37882,0.01752,0.15069,0.01334,0.11944,0.01114,0.01319,0.00425,0.19170,0.00097,0.20149,0.00751,0.32630,0.00158,0.17982,0.02363
robot_capability_only_planner,overtrust_safety_shift,480,0.44722,0.01917,0.18229,0.01478,0.07986,0.00996,0.47708,0.01811,0.27014,0.01730,0.22674,0.01593,0.01458,0.00443,0.29905,0.00114,0.34291,0.00763,0.37563,0.00195,-0.16372,0.02727
shared_autonomy_pomdp,burden_sensitive_shift,480,0.62257,0.01791,0.11111,0.01177,0.25486,0.01565,0.30556,0.01659,0.17743,0.01381,0.04201,0.00760,0.00937,0.00370,0.68378,0.00672,0.21991,0.00884,0.20169,0.00137,0.14482,0.02424
shared_autonomy_pomdp,capability_shift,480,0.65312,0.01776,0.11944,0.01277,0.17951,0.01445,0.25903,0.01590,0.20521,0.01482,0.04931,0.00856,0.00451,0.00242,0.57645,0.00620,0.23463,0.00931,0.20074,0.00136,0.20912,0.02541
shared_autonomy_pomdp,combined_extreme,480,0.58993,0.01687,0.15972,0.01305,0.27917,0.01668,0.33993,0.01713,0.24722,0.01641,0.09722,0.01189,0.01181,0.00395,0.78559,0.00762,0.29352,0.00835,0.21419,0.00149,-0.01698,0.02575
shared_autonomy_pomdp,delayed_human_feedback,480,0.62118,0.01890,0.10625,0.01166,0.25278,0.01635,0.31910,0.01662,0.16354,0.01401,0.03993,0.00751,0.00590,0.00276,0.75544,0.00682,0.20501,0.00923,0.19860,0.00134,0.14930,0.02564
shared_autonomy_pomdp,false_clarification_shift,480,0.60000,0.01882,0.11319,0.01145,0.27431,0.01643,0.32014,0.01676,0.17951,0.01429,0.05208,0.00854,0.01632,0.00454,0.70227,0.00688,0.22388,0.00866,0.20283,0.00137,0.09985,0.02568
shared_autonomy_pomdp,intent_ambiguity_shift,480,0.64549,0.01867,0.08993,0.01054,0.18472,0.01417,0.29896,0.01711,0.13715,0.01345,0.02639,0.00578,0.00799,0.00319,0.57978,0.00609,0.18414,0.00849,0.19479,0.00127,0.25372,0.02524
