method,split,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
active_clarification_bandit,burden_sensitive_shift,480,0.57917,0.01682,0.13542,0.01213,0.47535,0.01906,0.26632,0.01547,0.19306,0.01416,0.03333,0.00677,0.06146,0.00898,1.12524,0.01211,0.23715,0.00911,0.21310,0.00162,-0.04969,0.02476
active_clarification_bandit,capability_shift,480,0.62708,0.01832,0.13021,0.01325,0.34549,0.01788,0.21840,0.01503,0.21632,0.01521,0.03854,0.00787,0.05729,0.00868,0.99461,0.01104,0.24207,0.00953,0.20949,0.00159,0.07586,0.02620
active_clarification_bandit,combined_extreme,480,0.55694,0.01800,0.16528,0.01352,0.56806,0.01863,0.29410,0.01678,0.25104,0.01677,0.08125,0.01051,0.06840,0.00969,1.26262,0.01376,0.29698,0.00863,0.22668,0.00174,-0.20535,0.02639
active_clarification_bandit,delayed_human_feedback,480,0.61076,0.01775,0.11215,0.01187,0.49896,0.01964,0.26840,0.01539,0.18264,0.01476,0.03368,0.00679,0.05486,0.00851,1.19900,0.01226,0.20997,0.00917,0.21183,0.00159,-0.00161,0.02464
active_clarification_bandit,false_clarification_shift,480,0.60799,0.01812,0.11319,0.01145,0.50104,0.01923,0.25903,0.01515,0.19340,0.01533,0.04340,0.00772,0.07535,0.01026,1.15015,0.01238,0.22415,0.00861,0.21520,0.00164,-0.01292,0.02501
active_clarification_bandit,intent_ambiguity_shift,480,0.66215,0.01788,0.10694,0.01137,0.35243,0.01801,0.22778,0.01495,0.14931,0.01308,0.01979,0.00546,0.06042,0.00906,0.99710,0.01101,0.19664,0.00913,0.20357,0.00150,0.16474,0.02473
active_clarification_bandit,nominal,480,0.67951,0.01750,0.06875,0.00894,0.27465,0.01671,0.17535,0.01457,0.13750,0.01255,0.00799,0.00319,0.05174,0.00825,0.83756,0.00869,0.13776,0.00782,0.18599,0.00135,0.29784,0.02259
active_clarification_bandit,overtrust_safety_shift,480,0.59097,0.01847,0.16667,0.01321,0.46111,0.01861,0.26493,0.01699,0.27153,0.01598,0.07639,0.00966,0.05937,0.00873,1.13716,0.01256,0.29529,0.00842,0.21919,0.00164,-0.11270,0.02576
capability_map_tamp,burden_sensitive_shift,480,0.56771,0.01776,0.08611,0.01064,0.15868,0.01376,0.39028,0.01740,0.14201,0.01357,0.08646,0.01051,0.00174,0.00152,0.44884,0.00378,0.17707,0.00868,0.24252,0.00133,0.14988,0.02396
capability_map_tamp,capability_shift,480,0.60625,0.01804,0.08819,0.01081,0.10764,0.01123,0.35382,0.01789,0.15590,0.01337,0.10069,0.01150,0.00104,0.00118,0.35697,0.00346,0.18832,0.00867,0.24032,0.00126,0.21671,0.02392
