method,risk_budget,seed,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,covered,ci95_covered
active_clarification_bandit,0.08000,0,576,0.04861,0.01758,0.00000,0.00000,0.08507,0.02280,0.02604,0.01302,0.01910,0.01119,0.01736,0.01068,0.08507,0.02280,0.17094,0.04597,0.01659,0.00451,0.01888,0.00509,-0.03909,0.01732,0.08507,0.02280
active_clarification_bandit,0.08000,1,576,0.07812,0.02194,0.00000,0.00000,0.12500,0.02703,0.04340,0.01666,0.04167,0.01633,0.00694,0.00679,0.12500,0.02703,0.25578,0.05550,0.02508,0.00551,0.02827,0.00614,-0.05365,0.01960,0.12500,0.02703
active_clarification_bandit,0.08000,2,576,0.06771,0.02054,0.00000,0.00000,0.11111,0.02569,0.01562,0.01014,0.02951,0.01383,0.00521,0.00588,0.11111,0.02569,0.22759,0.05279,0.02232,0.00523,0.02513,0.00584,-0.03791,0.01699,0.11111,0.02569
active_clarification_bandit,0.08000,3,576,0.07812,0.02194,0.00000,0.00000,0.10938,0.02551,0.03299,0.01460,0.02257,0.01214,0.01389,0.00957,0.10938,0.02551,0.22676,0.05306,0.02155,0.00509,0.02482,0.00582,-0.03169,0.01636,0.10938,0.02551
active_clarification_bandit,0.08000,4,576,0.06944,0.02078,0.00000,0.00000,0.10590,0.02515,0.03819,0.01567,0.02778,0.01343,0.01389,0.00957,0.10590,0.02515,0.21585,0.05147,0.02082,0.00500,0.02351,0.00561,-0.04156,0.01745,0.10590,0.02515
active_clarification_bandit,0.08000,5,576,0.05556,0.01872,0.00000,0.00000,0.09201,0.02363,0.02778,0.01343,0.01562,0.01014,0.00521,0.00588,0.09201,0.02363,0.18898,0.04868,0.01796,0.00467,0.02061,0.00532,-0.03355,0.01662,0.09201,0.02363
active_clarification_bandit,0.08000,6,576,0.04861,0.01758,0.00000,0.00000,0.07812,0.02194,0.01562,0.01014,0.01389,0.00957,0.00347,0.00481,0.07812,0.02194,0.16088,0.04530,0.01546,0.00442,0.01729,0.00488,-0.02430,0.01445,0.07812,0.02194
active_clarification_bandit,0.08000,7,576,0.06250,0.01979,0.00000,0.00000,0.10764,0.02533,0.02604,0.01302,0.03646,0.01532,0.00694,0.00679,0.10764,0.02533,0.21856,0.05162,0.02146,0.00511,0.02405,0.00570,-0.04742,0.01819,0.10764,0.02533
active_clarification_bandit,0.08000,8,576,0.06597,0.02029,0.00000,0.00000,0.10417,0.02497,0.02951,0.01383,0.03472,0.01496,0.01215,0.00896,0.10417,0.02497,0.21501,0.05173,0.02083,0.00506,0.02366,0.00570,-0.04332,0.01911,0.10417,0.02497
active_clarification_bandit,0.08000,9,576,0.06250,0.01979,0.00000,0.00000,0.10938,0.02551,0.03125,0.01422,0.02778,0.01343,0.01389,0.00957,0.10938,0.02551,0.22461,0.05260,0.02151,0.00506,0.02415,0.00565,-0.04884,0.01913,0.10938,0.02551
