case_id,split,task,regime,seed,v5_success,reference_method,reference_success,success_gap,v5_physical_violation,v5_human_burden,v5_unnecessary_query,risk_score,lesson
1,burden_sensitive_shift,co_carry_doorway,ergonomic_constraint,1,0.33333,proposed_affordance_negotiation_v4,1.00000,-0.66667,0.33333,0.33333,0.00000,1.15000,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
2,false_clarification_shift,assisted_assembly,occluded_human_goal,9,0.50000,proposed_affordance_negotiation_v4,1.00000,-0.50000,0.33333,0.50000,0.00000,1.05833,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
3,combined_extreme,collaborative_sorting,ergonomic_constraint,0,0.50000,proposed_affordance_negotiation_v4,1.00000,-0.50000,0.16667,0.83333,0.00000,1.04167,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
4,combined_extreme,handover_grip_choice,load_sharing_mismatch,8,0.33333,proposed_affordance_negotiation_v4,1.00000,-0.66667,0.00000,0.66667,0.00000,0.96667,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
5,combined_extreme,tool_use_handoff,load_sharing_mismatch,5,0.16667,proposed_affordance_negotiation_v4,0.83333,-0.66667,0.16667,0.16667,0.00000,0.90833,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
6,burden_sensitive_shift,handover_grip_choice,ambiguous_intent,8,0.16667,proposed_affordance_negotiation_v4,0.83333,-0.66667,0.00000,0.50000,0.00000,0.89167,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
7,overtrust_safety_shift,tool_use_handoff,ergonomic_constraint,6,0.33333,proposed_affordance_negotiation_v4,0.83333,-0.50000,0.16667,0.50000,0.00000,0.89167,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
8,combined_extreme,assisted_assembly,temporal_commitment_drift,3,0.33333,proposed_affordance_negotiation_v4,0.83333,-0.50000,0.16667,0.50000,0.00000,0.89167,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
9,false_clarification_shift,co_carry_doorway,occluded_human_goal,6,0.50000,proposed_affordance_negotiation_v4,0.83333,-0.33333,0.33333,0.33333,0.00000,0.81667,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
10,false_clarification_shift,co_carry_doorway,conflicting_safety_preference,4,0.50000,proposed_affordance_negotiation_v4,0.83333,-0.33333,0.33333,0.33333,0.00000,0.81667,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
11,burden_sensitive_shift,shared_fixture_insertion,conflicting_safety_preference,3,0.50000,proposed_affordance_negotiation_v4,1.00000,-0.50000,0.16667,0.33333,0.00000,0.81667,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
12,false_clarification_shift,assisted_assembly,load_sharing_mismatch,3,0.50000,proposed_affordance_negotiation_v4,1.00000,-0.50000,0.16667,0.33333,0.00000,0.81667,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
13,overtrust_safety_shift,assisted_assembly,asymmetric_reach,6,0.50000,proposed_affordance_negotiation_v4,0.66667,-0.16667,0.50000,0.33333,0.00000,0.81667,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
14,combined_extreme,handover_grip_choice,conflicting_safety_preference,4,0.50000,proposed_affordance_negotiation_v4,1.00000,-0.50000,0.16667,0.33333,0.00000,0.81667,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
15,burden_sensitive_shift,co_carry_doorway,occluded_human_goal,7,0.50000,proposed_affordance_negotiation_v4,0.83333,-0.33333,0.16667,0.66667,0.00000,0.80000,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
16,burden_sensitive_shift,shared_fixture_insertion,load_sharing_mismatch,0,0.50000,proposed_affordance_negotiation_v4,0.83333,-0.33333,0.33333,0.16667,0.00000,0.80000,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
17,burden_sensitive_shift,shared_fixture_insertion,conflicting_safety_preference,6,0.66667,proposed_affordance_negotiation_v4,0.66667,0.00000,0.50000,0.66667,0.00000,0.80000,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
18,false_clarification_shift,assisted_assembly,ergonomic_constraint,3,0.66667,proposed_affordance_negotiation_v4,1.00000,-0.33333,0.16667,0.66667,0.00000,0.80000,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
19,false_clarification_shift,shared_fixture_insertion,load_sharing_mismatch,2,0.33333,proposed_affordance_negotiation_v4,1.00000,-0.66667,0.00000,0.16667,0.00000,0.80000,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
20,combined_extreme,shared_fixture_insertion,load_sharing_mismatch,7,0.66667,proposed_affordance_negotiation_v4,0.83333,-0.16667,0.50000,0.16667,0.00000,0.80000,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
21,combined_extreme,shared_fixture_insertion,conflicting_safety_preference,1,0.83333,proposed_affordance_negotiation_v4,1.00000,-0.16667,0.33333,0.66667,0.00000,0.80000,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
22,overtrust_safety_shift,assisted_assembly,conflicting_safety_preference,1,0.66667,proposed_affordance_negotiation_v4,0.83333,-0.16667,0.33333,0.50000,0.00000,0.78333,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
23,burden_sensitive_shift,shared_fixture_insertion,temporal_commitment_drift,3,0.83333,proposed_affordance_negotiation_v4,0.83333,0.00000,0.50000,0.50000,0.16667,0.77500,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
24,combined_extreme,tool_use_handoff,role_switch_request,7,0.66667,proposed_affordance_negotiation_v4,0.66667,0.00000,0.50000,0.33333,0.00000,0.76667,hard collaborative ambiguity remains when role negotiation and burden limits collide under delayed feedback
