method,split,task,family,mean_success,ci95_success,mean_physical_violation,ci95_physical_violation,mean_human_burden,ci95_human_burden,mean_intent_error,ci95_intent_error,mean_overpromise,ci95_overpromise,mean_negotiation_rounds,ci95_negotiation_rounds,mean_total_cost,ci95_total_cost,groups,mean_regret_to_oracle
capability_map_tamp,delayed_human_feedback,assisted_assembly,load_sharing_mismatch,0.6088,0.0303,0.0697,0.0156,0.1361,0.0243,0.3588,0.0358,0.0510,0.0195,0.7334,0.0244,0.2582,0.0030,7,0.1854
capability_map_tamp,delayed_human_feedback,assisted_assembly,occluded_human_goal,0.5799,0.0366,0.0357,0.0135,0.1361,0.0278,0.4150,0.0336,0.0102,0.0107,0.7205,0.0180,0.2366,0.0044,7,0.1514
capability_map_tamp,delayed_human_feedback,assisted_assembly,role_switch_request,0.5663,0.0264,0.0459,0.0107,0.1071,0.0176,0.4167,0.0360,0.0255,0.0213,0.7121,0.0170,0.2422,0.0034,7,0.2109
capability_map_tamp,delayed_human_feedback,co_carry_doorway,ambiguous_intent,0.5408,0.0435,0.0476,0.0161,0.1293,0.0285,0.4031,0.0358,0.0102,0.0094,0.6883,0.0336,0.2327,0.0036,7,0.2194
capability_map_tamp,delayed_human_feedback,co_carry_doorway,asymmetric_reach,0.5714,0.0488,0.0816,0.0156,0.1122,0.0227,0.3469,0.0402,0.0714,0.0125,0.7287,0.0162,0.2561,0.0029,7,0.1684
capability_map_tamp,delayed_human_feedback,co_carry_doorway,conflicting_safety_preference,0.5918,0.0440,0.0799,0.0237,0.1344,0.0263,0.4116,0.0461,0.0493,0.0267,0.7295,0.0216,0.2745,0.0039,7,0.2092
capability_map_tamp,delayed_human_feedback,co_carry_doorway,ergonomic_constraint,0.5833,0.0401,0.1003,0.0292,0.1395,0.0189,0.3452,0.0176,0.0391,0.0273,0.6917,0.0159,0.2561,0.0033,7,0.1854
capability_map_tamp,delayed_human_feedback,co_carry_doorway,load_sharing_mismatch,0.5884,0.0370,0.0833,0.0216,0.1190,0.0297,0.3741,0.0654,0.0918,0.0208,0.7403,0.0358,0.2703,0.0050,7,0.2041
capability_map_tamp,delayed_human_feedback,co_carry_doorway,occluded_human_goal,0.5612,0.0396,0.0561,0.0232,0.1156,0.0195,0.4184,0.0459,0.0068,0.0069,0.6998,0.0261,0.2395,0.0050,7,0.1905
capability_map_tamp,delayed_human_feedback,co_carry_doorway,role_switch_request,0.5782,0.0345,0.0561,0.0122,0.1497,0.0305,0.3741,0.0278,0.0272,0.0098,0.7159,0.0181,0.2468,0.0031,7,0.2143
capability_map_tamp,delayed_human_feedback,collaborative_sorting,ambiguous_intent,0.5680,0.0488,0.0272,0.0098,0.1293,0.0219,0.4201,0.0373,0.0102,0.0079,0.6723,0.0362,0.2301,0.0036,7,0.2092
capability_map_tamp,delayed_human_feedback,collaborative_sorting,asymmetric_reach,0.5782,0.0301,0.0510,0.0132,0.0986,0.0278,0.3827,0.0421,0.0272,0.0141,0.6438,0.0444,0.2196,0.0035,7,0.1820
capability_map_tamp,delayed_human_feedback,collaborative_sorting,conflicting_safety_preference,0.5918,0.0477,0.0578,0.0119,0.1207,0.0224,0.3980,0.0491,0.0119,0.0102,0.6935,0.0210,0.2420,0.0063,7,0.1922
capability_map_tamp,delayed_human_feedback,collaborative_sorting,ergonomic_constraint,0.5850,0.0257,0.0459,0.0156,0.1224,0.0248,0.3895,0.0282,0.0306,0.0160,0.6368,0.0182,0.2241,0.0041,7,0.1667
capability_map_tamp,delayed_human_feedback,collaborative_sorting,load_sharing_mismatch,0.6003,0.0325,0.0408,0.0203,0.1003,0.0183,0.3810,0.0135,0.0204,0.0067,0.6810,0.0117,0.2366,0.0039,7,0.1718
capability_map_tamp,delayed_human_feedback,collaborative_sorting,occluded_human_goal,0.5697,0.0320,0.0374,0.0148,0.1497,0.0329,0.4728,0.0296,0.0170,0.0100,0.6730,0.0166,0.2324,0.0030,7,0.2160
capability_map_tamp,delayed_human_feedback,collaborative_sorting,role_switch_request,0.5833,0.0288,0.0442,0.0202,0.1293,0.0187,0.4133,0.0455,0.0119,0.0088,0.7077,0.0284,0.2283,0.0029,7,0.1803
capability_map_tamp,delayed_human_feedback,handover_grip_choice,ambiguous_intent,0.5663,0.0541,0.0510,0.0237,0.1361,0.0301,0.4456,0.0384,0.0170,0.0047,0.7036,0.0325,0.2373,0.0024,7,0.1871
capability_map_tamp,delayed_human_feedback,handover_grip_choice,asymmetric_reach,0.5901,0.0254,0.0561,0.0111,0.1293,0.0224,0.3503,0.0363,0.0476,0.0216,0.7078,0.0314,0.2387,0.0045,7,0.1667
capability_map_tamp,delayed_human_feedback,handover_grip_choice,conflicting_safety_preference,0.5476,0.0404,0.0833,0.0244,0.1463,0.0268,0.3946,0.0448,0.0306,0.0112,0.7228,0.0308,0.2578,0.0049,7,0.2534
capability_map_tamp,delayed_human_feedback,handover_grip_choice,ergonomic_constraint,0.5935,0.0518,0.0680,0.0243,0.1446,0.0262,0.3861,0.0345,0.0272,0.0150,0.6824,0.0134,0.2396,0.0035,7,0.1922
capability_map_tamp,delayed_human_feedback,handover_grip_choice,load_sharing_mismatch,0.6020,0.0404,0.0697,0.0187,0.1207,0.0148,0.3673,0.0224,0.0391,0.0150,0.7082,0.0134,0.2535,0.0057,7,0.1599
capability_map_tamp,delayed_human_feedback,handover_grip_choice,occluded_human_goal,0.6071,0.0519,0.0357,0.0144,0.1463,0.0333,0.4337,0.0341,0.0017,0.0033,0.6880,0.0158,0.2341,0.0030,7,0.1939
capability_map_tamp,delayed_human_feedback,handover_grip_choice,role_switch_request,0.5901,0.0423,0.0323,0.0220,0.1071,0.0244,0.4099,0.0325,0.0102,0.0079,0.7212,0.0119,0.2420,0.0035,7,0.1684
capability_map_tamp,delayed_human_feedback,tool_use_handoff,ambiguous_intent,0.5153,0.0174,0.0357,0.0135,0.1480,0.0175,0.4235,0.0215,0.0000,0.0000,0.6950,0.0136,0.2401,0.0032,7,0.2330
capability_map_tamp,delayed_human_feedback,tool_use_handoff,asymmetric_reach,0.5884,0.0469,0.0646,0.0143,0.1259,0.0227,0.3707,0.0442,0.0476,0.0191,0.6843,0.0235,0.2492,0.0027,7,0.1956
capability_map_tamp,delayed_human_feedback,tool_use_handoff,conflicting_safety_preference,0.6037,0.0337,0.0867,0.0214,0.1497,0.0233,0.3980,0.0269,0.0493,0.0224,0.7612,0.0300,0.2676,0.0050,7,0.2177
capability_map_tamp,delayed_human_feedback,tool_use_handoff,ergonomic_constraint,0.5884,0.0455,0.0697,0.0200,0.1395,0.0243,0.3776,0.0174,0.0510,0.0214,0.6997,0.0308,0.2527,0.0041,7,0.2177
capability_map_tamp,delayed_human_feedback,tool_use_handoff,load_sharing_mismatch,0.6190,0.0394,0.0884,0.0215,0.1276,0.0431,0.3180,0.0333,0.0544,0.0112,0.7030,0.0225,0.2634,0.0019,7,0.1395
capability_map_tamp,delayed_human_feedback,tool_use_handoff,occluded_human_goal,0.5663,0.0377,0.0425,0.0152,0.1463,0.0268,0.4048,0.0367,0.0136,0.0094,0.7037,0.0302,0.2405,0.0045,7,0.2143
capability_map_tamp,delayed_human_feedback,tool_use_handoff,role_switch_request,0.6020,0.0435,0.0493,0.0139,0.1088,0.0358,0.3963,0.0406,0.0391,0.0220,0.7393,0.0313,0.2475,0.0044,7,0.1718
capability_map_tamp,intent_ambiguity_shift,assisted_assembly,ambiguous_intent,0.6054,0.0316,0.0323,0.0084,0.1344,0.0282,0.3963,0.0477,0.0068,0.0086,0.5528,0.0351,0.2153,0.0029,7,0.1378
capability_map_tamp,intent_ambiguity_shift,assisted_assembly,asymmetric_reach,0.6207,0.0479,0.0680,0.0248,0.1241,0.0292,0.4014,0.0488,0.0408,0.0233,0.5508,0.0273,0.2179,0.0027,7,0.1752
capability_map_tamp,intent_ambiguity_shift,assisted_assembly,conflicting_safety_preference,0.5833,0.0318,0.0969,0.0241,0.1003,0.0283,0.3656,0.0526,0.0323,0.0214,0.5874,0.0182,0.2395,0.0036,7,0.2670
capability_map_tamp,intent_ambiguity_shift,assisted_assembly,ergonomic_constraint,0.6122,0.0397,0.0646,0.0143,0.1054,0.0236,0.3554,0.0365,0.0289,0.0133,0.5297,0.0185,0.2190,0.0059,7,0.1718
capability_map_tamp,intent_ambiguity_shift,assisted_assembly,load_sharing_mismatch,0.6088,0.0358,0.0629,0.0159,0.1122,0.0278,0.3282,0.0309,0.0425,0.0160,0.5783,0.0273,0.2368,0.0057,7,0.2024
capability_map_tamp,intent_ambiguity_shift,assisted_assembly,occluded_human_goal,0.6003,0.0496,0.0527,0.0183,0.1361,0.0175,0.3622,0.0466,0.0119,0.0088,0.5647,0.0163,0.2177,0.0030,7,0.2211
capability_map_tamp,intent_ambiguity_shift,assisted_assembly,role_switch_request,0.5799,0.0471,0.0442,0.0167,0.1071,0.0297,0.4014,0.0493,0.0102,0.0079,0.6002,0.0288,0.2196,0.0043,7,0.2449
capability_map_tamp,intent_ambiguity_shift,co_carry_doorway,ambiguous_intent,0.5697,0.0471,0.0510,0.0150,0.1259,0.0329,0.3724,0.0366,0.0102,0.0094,0.5335,0.0298,0.2131,0.0042,7,0.2160
capability_map_tamp,intent_ambiguity_shift,co_carry_doorway,asymmetric_reach,0.5986,0.0344,0.0680,0.0309,0.1276,0.0132,0.3946,0.0354,0.0408,0.0112,0.5648,0.0274,0.2322,0.0034,7,0.1871
capability_map_tamp,intent_ambiguity_shift,co_carry_doorway,conflicting_safety_preference,0.6276,0.0278,0.1003,0.0249,0.1020,0.0296,0.3452,0.0334,0.0340,0.0180,0.5744,0.0183,0.2470,0.0037,7,0.1939
capability_map_tamp,intent_ambiguity_shift,co_carry_doorway,ergonomic_constraint,0.5918,0.0122,0.0748,0.0174,0.1293,0.0129,0.3707,0.0672,0.0306,0.0123,0.5641,0.0404,0.2289,0.0035,7,0.1990
capability_map_tamp,intent_ambiguity_shift,co_carry_doorway,load_sharing_mismatch,0.6105,0.0488,0.0782,0.0274,0.1020,0.0233,0.3537,0.0564,0.0476,0.0222,0.6019,0.0141,0.2460,0.0056,7,0.2024
capability_map_tamp,intent_ambiguity_shift,co_carry_doorway,occluded_human_goal,0.5969,0.0479,0.0408,0.0152,0.1054,0.0094,0.3827,0.0503,0.0119,0.0051,0.5641,0.0367,0.2156,0.0023,7,0.1752
capability_map_tamp,intent_ambiguity_shift,co_carry_doorway,role_switch_request,0.5646,0.0472,0.0561,0.0237,0.1139,0.0283,0.4048,0.0239,0.0272,0.0084,0.5475,0.0211,0.2248,0.0084,7,0.2364
capability_map_tamp,intent_ambiguity_shift,collaborative_sorting,ambiguous_intent,0.5357,0.0360,0.0255,0.0094,0.1190,0.0310,0.3912,0.0645,0.0187,0.0086,0.5243,0.0301,0.2118,0.0037,7,0.2228
capability_map_tamp,intent_ambiguity_shift,collaborative_sorting,asymmetric_reach,0.5697,0.0566,0.0357,0.0184,0.0850,0.0119,0.3418,0.0663,0.0119,0.0072,0.4733,0.0294,0.1957,0.0031,7,0.2296
capability_map_tamp,intent_ambiguity_shift,collaborative_sorting,conflicting_safety_preference,0.6259,0.0296,0.0578,0.0219,0.1020,0.0296,0.3690,0.0381,0.0085,0.0067,0.5638,0.0332,0.2184,0.0053,7,0.1803
