method,split,task,family,mean_success,ci95_success,mean_physical_violation,ci95_physical_violation,mean_human_burden,ci95_human_burden,mean_intent_error,ci95_intent_error,mean_overpromise,ci95_overpromise,mean_negotiation_rounds,ci95_negotiation_rounds,mean_total_cost,ci95_total_cost,groups,mean_regret_to_oracle
capability_map_tamp,capability_shift,assisted_assembly,ambiguous_intent,0.5918,0.0485,0.0357,0.0191,0.1020,0.0283,0.3724,0.0273,0.0204,0.0150,0.5361,0.0253,0.2030,0.0018,7,0.1752
capability_map_tamp,capability_shift,assisted_assembly,asymmetric_reach,0.6378,0.0534,0.0901,0.0183,0.1105,0.0214,0.3197,0.0451,0.1088,0.0290,0.5592,0.0242,0.2280,0.0049,7,0.1582
capability_map_tamp,capability_shift,assisted_assembly,conflicting_safety_preference,0.6003,0.0407,0.0986,0.0278,0.1037,0.0387,0.3248,0.0469,0.0799,0.0182,0.5982,0.0195,0.2464,0.0035,7,0.2279
capability_map_tamp,capability_shift,assisted_assembly,ergonomic_constraint,0.5901,0.0370,0.0884,0.0190,0.1037,0.0195,0.3146,0.0221,0.0663,0.0133,0.5461,0.0192,0.2271,0.0023,7,0.2109
capability_map_tamp,capability_shift,assisted_assembly,load_sharing_mismatch,0.5952,0.0371,0.0731,0.0129,0.1173,0.0224,0.3231,0.0328,0.0799,0.0141,0.5770,0.0138,0.2414,0.0027,7,0.2245
capability_map_tamp,capability_shift,assisted_assembly,occluded_human_goal,0.5918,0.0291,0.0612,0.0267,0.0867,0.0321,0.3452,0.0461,0.0357,0.0153,0.5716,0.0192,0.2123,0.0019,7,0.1735
capability_map_tamp,capability_shift,assisted_assembly,role_switch_request,0.6054,0.0579,0.0697,0.0257,0.1361,0.0183,0.3401,0.0384,0.0578,0.0236,0.5823,0.0200,0.2245,0.0050,7,0.2364
capability_map_tamp,capability_shift,co_carry_doorway,ambiguous_intent,0.6088,0.0584,0.0442,0.0278,0.1139,0.0168,0.3724,0.0440,0.0170,0.0123,0.5525,0.0266,0.2021,0.0049,7,0.1786
capability_map_tamp,capability_shift,co_carry_doorway,asymmetric_reach,0.6412,0.0471,0.0935,0.0285,0.1037,0.0214,0.2925,0.0413,0.0884,0.0243,0.5508,0.0244,0.2374,0.0035,7,0.1990
capability_map_tamp,capability_shift,co_carry_doorway,conflicting_safety_preference,0.6293,0.0418,0.0952,0.0310,0.1088,0.0193,0.3656,0.0410,0.0816,0.0246,0.6129,0.0198,0.2545,0.0035,7,0.1973
capability_map_tamp,capability_shift,co_carry_doorway,ergonomic_constraint,0.6207,0.0402,0.0748,0.0195,0.1173,0.0079,0.2908,0.0506,0.0969,0.0107,0.5562,0.0198,0.2352,0.0042,7,0.1888
capability_map_tamp,capability_shift,co_carry_doorway,load_sharing_mismatch,0.6156,0.0329,0.1139,0.0215,0.1207,0.0200,0.3163,0.0264,0.0986,0.0321,0.6028,0.0311,0.2500,0.0055,7,0.2313
capability_map_tamp,capability_shift,co_carry_doorway,occluded_human_goal,0.5986,0.0493,0.0646,0.0243,0.1003,0.0233,0.3214,0.0255,0.0493,0.0276,0.5613,0.0297,0.2164,0.0055,7,0.1718
capability_map_tamp,capability_shift,co_carry_doorway,role_switch_request,0.5714,0.0529,0.0544,0.0100,0.1259,0.0287,0.3248,0.0380,0.0833,0.0176,0.5928,0.0341,0.2299,0.0035,7,0.2296
capability_map_tamp,capability_shift,collaborative_sorting,ambiguous_intent,0.6105,0.0397,0.0323,0.0150,0.1173,0.0343,0.3214,0.0314,0.0102,0.0061,0.5365,0.0267,0.1993,0.0015,7,0.1259
capability_map_tamp,capability_shift,collaborative_sorting,asymmetric_reach,0.5510,0.0716,0.0629,0.0278,0.0901,0.0168,0.3112,0.0180,0.0578,0.0224,0.5313,0.0275,0.2081,0.0043,7,0.2041
capability_map_tamp,capability_shift,collaborative_sorting,conflicting_safety_preference,0.6224,0.0282,0.0850,0.0180,0.1088,0.0224,0.3197,0.0241,0.0425,0.0209,0.5549,0.0269,0.2249,0.0039,7,0.2211
capability_map_tamp,capability_shift,collaborative_sorting,ergonomic_constraint,0.5952,0.0283,0.0697,0.0224,0.1156,0.0263,0.2976,0.0381,0.0340,0.0119,0.4966,0.0458,0.2079,0.0038,7,0.1718
capability_map_tamp,capability_shift,collaborative_sorting,load_sharing_mismatch,0.5952,0.0417,0.0697,0.0257,0.0884,0.0249,0.2891,0.0321,0.0493,0.0187,0.5277,0.0278,0.2169,0.0046,7,0.2058
capability_map_tamp,capability_shift,collaborative_sorting,occluded_human_goal,0.5901,0.0325,0.0374,0.0156,0.1071,0.0265,0.3673,0.0324,0.0136,0.0079,0.5335,0.0164,0.1976,0.0021,7,0.1854
capability_map_tamp,capability_shift,collaborative_sorting,role_switch_request,0.6514,0.0400,0.0544,0.0278,0.1054,0.0262,0.3163,0.0233,0.0272,0.0159,0.5521,0.0218,0.2066,0.0040,7,0.1735
capability_map_tamp,capability_shift,handover_grip_choice,ambiguous_intent,0.5765,0.0309,0.0459,0.0119,0.1599,0.0363,0.3486,0.0460,0.0102,0.0079,0.5447,0.0334,0.2009,0.0024,7,0.2109
capability_map_tamp,capability_shift,handover_grip_choice,asymmetric_reach,0.6514,0.0390,0.0799,0.0202,0.1412,0.0148,0.3180,0.0422,0.0765,0.0233,0.5377,0.0291,0.2195,0.0039,7,0.1378
capability_map_tamp,capability_shift,handover_grip_choice,conflicting_safety_preference,0.6293,0.0465,0.0918,0.0232,0.1054,0.0409,0.3316,0.0290,0.0748,0.0291,0.5878,0.0268,0.2383,0.0020,7,0.2160
capability_map_tamp,capability_shift,handover_grip_choice,ergonomic_constraint,0.5833,0.0494,0.0799,0.0122,0.0918,0.0321,0.3418,0.0524,0.0595,0.0349,0.5390,0.0113,0.2163,0.0035,7,0.2262
capability_map_tamp,capability_shift,handover_grip_choice,load_sharing_mismatch,0.6037,0.0511,0.0765,0.0168,0.1276,0.0248,0.2840,0.0324,0.0697,0.0206,0.6005,0.0147,0.2357,0.0036,7,0.2194
capability_map_tamp,capability_shift,handover_grip_choice,occluded_human_goal,0.6037,0.0463,0.0612,0.0172,0.1412,0.0236,0.3265,0.0426,0.0340,0.0079,0.5461,0.0402,0.2096,0.0023,7,0.1905
capability_map_tamp,capability_shift,handover_grip_choice,role_switch_request,0.6105,0.0337,0.0425,0.0160,0.0867,0.0232,0.3316,0.0695,0.0340,0.0187,0.5348,0.0179,0.2191,0.0033,7,0.1718
capability_map_tamp,capability_shift,tool_use_handoff,ambiguous_intent,0.5969,0.0276,0.0408,0.0143,0.1105,0.0195,0.3878,0.0564,0.0153,0.0098,0.5428,0.0202,0.2034,0.0030,7,0.1616
capability_map_tamp,capability_shift,tool_use_handoff,asymmetric_reach,0.6241,0.0504,0.0901,0.0296,0.1207,0.0336,0.2619,0.0517,0.0629,0.0226,0.5579,0.0259,0.2314,0.0056,7,0.1854
capability_map_tamp,capability_shift,tool_use_handoff,conflicting_safety_preference,0.6156,0.0174,0.0969,0.0294,0.1105,0.0304,0.3605,0.0425,0.0714,0.0244,0.6185,0.0312,0.2532,0.0029,7,0.2262
capability_map_tamp,capability_shift,tool_use_handoff,ergonomic_constraint,0.6207,0.0568,0.1054,0.0129,0.1241,0.0352,0.2704,0.0268,0.0595,0.0297,0.5582,0.0162,0.2332,0.0036,7,0.1718
capability_map_tamp,capability_shift,tool_use_handoff,load_sharing_mismatch,0.6224,0.0321,0.1003,0.0227,0.1327,0.0324,0.3146,0.0215,0.0969,0.0276,0.5962,0.0295,0.2475,0.0044,7,0.2092
capability_map_tamp,capability_shift,tool_use_handoff,occluded_human_goal,0.6054,0.0415,0.0408,0.0152,0.0799,0.0220,0.3673,0.0518,0.0272,0.0122,0.5774,0.0195,0.2141,0.0039,7,0.1939
capability_map_tamp,capability_shift,tool_use_handoff,role_switch_request,0.5986,0.0214,0.0663,0.0133,0.1156,0.0248,0.3333,0.0345,0.0595,0.0184,0.5732,0.0083,0.2294,0.0029,7,0.1871
capability_map_tamp,combined_stress,assisted_assembly,ambiguous_intent,0.5527,0.0215,0.0629,0.0300,0.1327,0.0281,0.4388,0.0362,0.0136,0.0094,0.7041,0.0323,0.2568,0.0039,7,0.1905
capability_map_tamp,combined_stress,assisted_assembly,asymmetric_reach,0.5646,0.0333,0.1122,0.0143,0.1105,0.0220,0.3997,0.0333,0.0986,0.0226,0.7151,0.0223,0.2810,0.0058,7,0.1956
capability_map_tamp,combined_stress,assisted_assembly,conflicting_safety_preference,0.5748,0.0569,0.1344,0.0226,0.1327,0.0290,0.4762,0.0438,0.0765,0.0175,0.7641,0.0335,0.3032,0.0060,7,0.2364
capability_map_tamp,combined_stress,assisted_assembly,ergonomic_constraint,0.5629,0.0352,0.1122,0.0435,0.1088,0.0267,0.4014,0.0359,0.0935,0.0187,0.7437,0.0226,0.2861,0.0030,7,0.2024
capability_map_tamp,combined_stress,assisted_assembly,load_sharing_mismatch,0.5833,0.0216,0.1259,0.0287,0.1293,0.0241,0.3605,0.0373,0.1054,0.0267,0.7554,0.0280,0.2979,0.0051,7,0.1854
capability_map_tamp,combined_stress,assisted_assembly,occluded_human_goal,0.5306,0.0426,0.0629,0.0208,0.1190,0.0297,0.4626,0.0418,0.0391,0.0202,0.7126,0.0205,0.2688,0.0036,7,0.2007
capability_map_tamp,combined_stress,assisted_assembly,role_switch_request,0.5986,0.0337,0.0867,0.0084,0.1122,0.0305,0.4388,0.0535,0.0612,0.0172,0.7474,0.0440,0.2811,0.0051,7,0.1667
capability_map_tamp,combined_stress,co_carry_doorway,ambiguous_intent,0.5085,0.0498,0.0629,0.0202,0.1139,0.0292,0.4388,0.0299,0.0051,0.0047,0.6824,0.0170,0.2526,0.0033,7,0.2143
capability_map_tamp,combined_stress,co_carry_doorway,asymmetric_reach,0.5714,0.0334,0.1020,0.0333,0.1088,0.0307,0.3588,0.0582,0.0952,0.0197,0.7459,0.0425,0.2907,0.0043,7,0.2058
capability_map_tamp,combined_stress,co_carry_doorway,conflicting_safety_preference,0.5884,0.0349,0.1531,0.0206,0.1122,0.0259,0.3997,0.0183,0.1020,0.0143,0.7476,0.0261,0.3129,0.0046,7,0.2109
capability_map_tamp,combined_stress,co_carry_doorway,ergonomic_constraint,0.6122,0.0374,0.1395,0.0132,0.1139,0.0215,0.4065,0.0525,0.0918,0.0263,0.7015,0.0277,0.2903,0.0036,7,0.1446
capability_map_tamp,combined_stress,co_carry_doorway,load_sharing_mismatch,0.5884,0.0321,0.1497,0.0183,0.1259,0.0215,0.3588,0.0172,0.1565,0.0200,0.7967,0.0197,0.3140,0.0025,7,0.2194
capability_map_tamp,combined_stress,co_carry_doorway,occluded_human_goal,0.5255,0.0479,0.0680,0.0174,0.1241,0.0160,0.4490,0.0344,0.0510,0.0287,0.7285,0.0297,0.2693,0.0039,7,0.2194
capability_map_tamp,combined_stress,co_carry_doorway,role_switch_request,0.5340,0.0281,0.0850,0.0206,0.1361,0.0274,0.4048,0.0360,0.0697,0.0246,0.7642,0.0336,0.2879,0.0062,7,0.2262
capability_map_tamp,combined_stress,collaborative_sorting,ambiguous_intent,0.5051,0.0296,0.0510,0.0195,0.1259,0.0143,0.4575,0.0325,0.0221,0.0119,0.6934,0.0281,0.2475,0.0041,7,0.1905
capability_map_tamp,combined_stress,collaborative_sorting,asymmetric_reach,0.5425,0.0410,0.0867,0.0226,0.1088,0.0164,0.4201,0.0434,0.0663,0.0209,0.6848,0.0236,0.2577,0.0035,7,0.1599
capability_map_tamp,combined_stress,collaborative_sorting,conflicting_safety_preference,0.5255,0.0303,0.0833,0.0135,0.1497,0.0168,0.4167,0.0534,0.0510,0.0237,0.6926,0.0329,0.2790,0.0048,7,0.2415
capability_map_tamp,combined_stress,collaborative_sorting,ergonomic_constraint,0.5357,0.0306,0.0663,0.0259,0.1531,0.0369,0.4082,0.0291,0.0612,0.0148,0.6711,0.0219,0.2614,0.0025,7,0.1803
capability_map_tamp,combined_stress,collaborative_sorting,load_sharing_mismatch,0.5901,0.0548,0.0850,0.0267,0.1241,0.0404,0.3690,0.0288,0.0748,0.0202,0.7013,0.0307,0.2730,0.0054,7,0.2092
capability_map_tamp,combined_stress,collaborative_sorting,occluded_human_goal,0.5119,0.0524,0.0680,0.0182,0.1241,0.0264,0.4609,0.0598,0.0272,0.0132,0.6939,0.0119,0.2556,0.0041,7,0.2466
capability_map_tamp,combined_stress,collaborative_sorting,role_switch_request,0.5765,0.0377,0.0527,0.0196,0.1156,0.0202,0.4609,0.0406,0.0510,0.0111,0.7109,0.0267,0.2639,0.0049,7,0.1582
capability_map_tamp,combined_stress,handover_grip_choice,ambiguous_intent,0.5051,0.0249,0.0374,0.0119,0.1088,0.0230,0.4660,0.0379,0.0051,0.0069,0.6887,0.0295,0.2496,0.0034,7,0.2211
capability_map_tamp,combined_stress,handover_grip_choice,asymmetric_reach,0.5578,0.0393,0.0986,0.0278,0.1122,0.0264,0.4133,0.0282,0.0918,0.0174,0.7031,0.0141,0.2697,0.0053,7,0.2126
capability_map_tamp,combined_stress,handover_grip_choice,conflicting_safety_preference,0.5663,0.0461,0.1054,0.0246,0.1378,0.0292,0.4303,0.0406,0.0782,0.0259,0.7464,0.0187,0.2883,0.0023,7,0.2228
capability_map_tamp,combined_stress,handover_grip_choice,ergonomic_constraint,0.5612,0.0224,0.0969,0.0257,0.1156,0.0317,0.3673,0.0303,0.0731,0.0193,0.7104,0.0219,0.2764,0.0036,7,0.1973
capability_map_tamp,combined_stress,handover_grip_choice,load_sharing_mismatch,0.5493,0.0351,0.0952,0.0318,0.1071,0.0204,0.4031,0.0396,0.0697,0.0267,0.7086,0.0322,0.2847,0.0034,7,0.2313
capability_map_tamp,combined_stress,handover_grip_choice,occluded_human_goal,0.5493,0.0271,0.0646,0.0069,0.1514,0.0333,0.4371,0.0317,0.0306,0.0196,0.6986,0.0240,0.2600,0.0028,7,0.2177
capability_map_tamp,combined_stress,handover_grip_choice,role_switch_request,0.5816,0.0336,0.0663,0.0152,0.1429,0.0283,0.4320,0.0604,0.0595,0.0184,0.7400,0.0254,0.2707,0.0064,7,0.2279
capability_map_tamp,combined_stress,tool_use_handoff,ambiguous_intent,0.5102,0.0358,0.0646,0.0143,0.1259,0.0238,0.4490,0.0373,0.0187,0.0112,0.6962,0.0141,0.2556,0.0025,7,0.1735
capability_map_tamp,combined_stress,tool_use_handoff,asymmetric_reach,0.5901,0.0249,0.1156,0.0253,0.1054,0.0236,0.3997,0.0274,0.0918,0.0182,0.7246,0.0195,0.2861,0.0044,7,0.1939
capability_map_tamp,combined_stress,tool_use_handoff,conflicting_safety_preference,0.5833,0.0233,0.1088,0.0285,0.1327,0.0328,0.4422,0.0187,0.0680,0.0159,0.7918,0.0209,0.3088,0.0030,7,0.2211
capability_map_tamp,combined_stress,tool_use_handoff,ergonomic_constraint,0.5595,0.0398,0.1361,0.0329,0.1173,0.0224,0.4167,0.0464,0.0850,0.0180,0.6941,0.0217,0.2862,0.0028,7,0.1650
capability_map_tamp,combined_stress,tool_use_handoff,load_sharing_mismatch,0.5799,0.0304,0.1207,0.0206,0.1293,0.0257,0.3861,0.0504,0.1344,0.0182,0.7931,0.0279,0.3050,0.0046,7,0.2143
capability_map_tamp,combined_stress,tool_use_handoff,occluded_human_goal,0.5119,0.0441,0.0731,0.0236,0.1190,0.0239,0.4626,0.0372,0.0374,0.0129,0.7255,0.0326,0.2685,0.0018,7,0.2381
capability_map_tamp,combined_stress,tool_use_handoff,role_switch_request,0.5306,0.0400,0.0901,0.0269,0.1207,0.0303,0.4609,0.0501,0.0731,0.0107,0.7664,0.0293,0.2858,0.0041,7,0.2449
capability_map_tamp,delayed_human_feedback,assisted_assembly,ambiguous_intent,0.5119,0.0517,0.0357,0.0169,0.1241,0.0413,0.4252,0.0214,0.0068,0.0069,0.6848,0.0290,0.2367,0.0050,7,0.2296
capability_map_tamp,delayed_human_feedback,assisted_assembly,asymmetric_reach,0.5663,0.0443,0.0612,0.0224,0.1378,0.0160,0.3537,0.0413,0.0578,0.0187,0.6798,0.0344,0.2421,0.0041,7,0.1803
capability_map_tamp,delayed_human_feedback,assisted_assembly,conflicting_safety_preference,0.6071,0.0541,0.0833,0.0216,0.1497,0.0175,0.4099,0.0221,0.0527,0.0203,0.7496,0.0115,0.2679,0.0037,7,0.1956
capability_map_tamp,delayed_human_feedback,assisted_assembly,ergonomic_constraint,0.5850,0.0382,0.0646,0.0221,0.1224,0.0383,0.3810,0.0496,0.0527,0.0209,0.6883,0.0241,0.2483,0.0040,7,0.1803
