method,risk_budget,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility,covered,ci95_covered
active_clarification_bandit,0.08000,10,0.06372,0.00652,0.00000,0.00000,0.10278,0.00858,0.02865,0.00542,0.02691,0.00568,0.00990,0.00300,0.10278,0.00858,0.21050,0.01778,0.02036,0.00178,0.02304,0.00200,-0.04013,0.00545,0.10278,0.00858
active_clarification_bandit,0.12000,10,0.05937,0.00841,0.00000,0.00000,0.10521,0.00776,0.03038,0.00468,0.02708,0.00492,0.00903,0.00226,0.10521,0.00776,0.21514,0.01519,0.02082,0.00159,0.02347,0.00178,-0.04679,0.00372,0.10521,0.00776
active_clarification_bandit,0.16000,10,0.12639,0.00665,0.01458,0.00250,0.15417,0.00491,0.06198,0.00617,0.05035,0.00264,0.01372,0.00306,0.09062,0.00595,0.34459,0.01146,0.04721,0.00252,0.04480,0.00148,-0.04507,0.00744,0.21632,0.00668
active_clarification_bandit,0.20000,10,0.34340,0.00629,0.07431,0.00825,0.32413,0.00893,0.16493,0.00726,0.14844,0.01104,0.04306,0.00442,0.08108,0.00714,0.76546,0.00691,0.15288,0.00551,0.12482,0.00093,-0.08056,0.01100,0.58819,0.00418
capability_map_tamp,0.08000,10,0.02326,0.00471,0.00000,0.00000,0.04271,0.00535,0.01944,0.00386,0.00885,0.00186,0.00382,0.00132,0.04271,0.00535,0.05698,0.00723,0.00698,0.00095,0.01068,0.00137,-0.01984,0.00192,0.04271,0.00535
capability_map_tamp,0.12000,10,0.05677,0.00473,0.00312,0.00111,0.05330,0.00567,0.04670,0.00284,0.01806,0.00468,0.01372,0.00251,0.04340,0.00409,0.08916,0.00574,0.01711,0.00118,0.02682,0.00154,-0.01301,0.00390,0.10816,0.00613
capability_map_tamp,0.16000,10,0.23802,0.00992,0.03733,0.00490,0.09375,0.00880,0.18958,0.00901,0.07326,0.00699,0.05833,0.00537,0.02760,0.00388,0.23859,0.00634,0.08996,0.00364,0.11076,0.00192,0.01925,0.01298,0.44809,0.00689
capability_map_tamp,0.20000,10,0.46354,0.01117,0.08837,0.00892,0.13715,0.00994,0.35087,0.01126,0.16302,0.00804,0.11684,0.01186,0.00660,0.00188,0.40979,0.00245,0.19209,0.00639,0.21016,0.00121,0.04988,0.02002,0.83750,0.00451
conformal_intent_risk_filter,0.08000,10,0.07778,0.00546,0.00191,0.00129,0.11024,0.00505,0.04861,0.00433,0.02413,0.00413,0.01250,0.00247,0.09740,0.00435,0.18783,0.00708,0.01780,0.00123,0.03109,0.00107,-0.03564,0.00606,0.13958,0.00422
conformal_intent_risk_filter,0.12000,10,0.25521,0.01252,0.03247,0.00325,0.17708,0.00930,0.15208,0.00658,0.07656,0.00812,0.03941,0.00537,0.06319,0.00554,0.37877,0.00816,0.07239,0.00286,0.09463,0.00159,0.00695,0.01534,0.43646,0.00690
