ablation,seed,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
full_risk_calibrated_collaborative_affordance_v5,0,192,0.74132,0.02298,0.06771,0.01389,0.26389,0.02416,0.24219,0.02573,0.11892,0.01847,0.01389,0.00653,0.00347,0.00338,0.81924,0.01734,0.09706,0.01418,0.07719,0.00090,0.36170,0.03277
full_risk_calibrated_collaborative_affordance_v5,1,192,0.74306,0.02505,0.05990,0.01509,0.27517,0.02770,0.26736,0.02483,0.11892,0.01939,0.01389,0.00653,0.00174,0.00240,0.81798,0.01734,0.08966,0.01535,0.07672,0.00099,0.35850,0.03343
full_risk_calibrated_collaborative_affordance_v5,2,192,0.71962,0.02361,0.07205,0.01459,0.23958,0.02347,0.25608,0.02630,0.12760,0.01918,0.01042,0.00572,0.00174,0.00240,0.81899,0.01720,0.10156,0.01483,0.07696,0.00094,0.33906,0.03219
full_risk_calibrated_collaborative_affordance_v5,3,192,0.72396,0.02650,0.06250,0.01477,0.26128,0.02407,0.24392,0.02739,0.10503,0.01795,0.01736,0.00868,0.00087,0.00170,0.81883,0.01714,0.09228,0.01494,0.07669,0.00100,0.35626,0.03512
full_risk_calibrated_collaborative_affordance_v5,4,192,0.70139,0.02717,0.06684,0.01508,0.27170,0.02690,0.24479,0.02506,0.13281,0.02012,0.01562,0.00769,0.00174,0.00240,0.81880,0.01710,0.09605,0.01530,0.07693,0.00098,0.31217,0.03635
full_risk_calibrated_collaborative_affordance_v5,5,192,0.70920,0.02451,0.06684,0.01449,0.28125,0.02861,0.26128,0.02514,0.10764,0.01899,0.00955,0.00549,0.00174,0.00240,0.81807,0.01721,0.09627,0.01490,0.07770,0.00098,0.32230,0.03539
full_risk_calibrated_collaborative_affordance_v5,6,192,0.68750,0.02513,0.05642,0.01417,0.26736,0.02587,0.26215,0.02648,0.12240,0.02043,0.01128,0.00641,0.00087,0.00170,0.81831,0.01716,0.08655,0.01440,0.07651,0.00098,0.31156,0.03380
full_risk_calibrated_collaborative_affordance_v5,7,192,0.73090,0.02629,0.05990,0.01429,0.24479,0.02575,0.25521,0.02642,0.11719,0.01838,0.01389,0.00696,0.00087,0.00170,0.81884,0.01728,0.09007,0.01461,0.07644,0.00097,0.36542,0.03595
full_risk_calibrated_collaborative_affordance_v5,8,192,0.72656,0.02622,0.07986,0.01635,0.26128,0.02593,0.25087,0.02495,0.11979,0.01859,0.01649,0.00820,0.00608,0.00443,0.81828,0.01719,0.10684,0.01671,0.07682,0.00090,0.33021,0.03626
full_risk_calibrated_collaborative_affordance_v5,9,192,0.71875,0.02840,0.07552,0.01650,0.26476,0.02721,0.25087,0.02424,0.14583,0.02164,0.01910,0.00791,0.00434,0.00376,0.81982,0.01738,0.10379,0.01665,0.07691,0.00099,0.31391,0.04033
no_active_repair,0,192,0.68403,0.02740,0.06684,0.01508,0.24653,0.02472,0.29427,0.02510,0.14931,0.02184,0.03733,0.01070,0.00174,0.00240,0.74412,0.01541,0.13064,0.01459,0.14212,0.00139,0.27778,0.03708
no_active_repair,1,192,0.66667,0.02895,0.08073,0.01653,0.25174,0.02609,0.27083,0.02570,0.11806,0.01882,0.03125,0.01013,0.00260,0.00293,0.74504,0.01533,0.14272,0.01547,0.14178,0.00139,0.26577,0.03771
no_active_repair,2,192,0.65538,0.02814,0.07118,0.01516,0.26389,0.02580,0.30816,0.02545,0.12847,0.02116,0.03125,0.01069,0.00347,0.00338,0.74527,0.01534,0.13415,0.01475,0.14147,0.00148,0.24171,0.03697
no_active_repair,3,192,0.68229,0.02566,0.07552,0.01615,0.26997,0.02789,0.32031,0.02781,0.13715,0.02089,0.04340,0.01218,0.00347,0.00338,0.74415,0.01539,0.13917,0.01494,0.14140,0.00147,0.24975,0.03501
no_active_repair,4,192,0.66493,0.02654,0.05556,0.01474,0.26215,0.02859,0.26997,0.02456,0.13021,0.02024,0.03993,0.01218,0.00174,0.00240,0.74562,0.01547,0.12251,0.01358,0.14210,0.00141,0.27977,0.04124
no_active_repair,5,192,0.67361,0.02663,0.08854,0.01929,0.24306,0.02770,0.29688,0.02723,0.15625,0.02084,0.02951,0.00965,0.00608,0.00443,0.74489,0.01547,0.14922,0.01751,0.14278,0.00137,0.24236,0.04214
no_active_repair,6,192,0.67448,0.02428,0.07639,0.01754,0.24653,0.02275,0.28212,0.02636,0.14670,0.01947,0.03646,0.01216,0.00260,0.00293,0.74459,0.01526,0.13911,0.01619,0.14158,0.00140,0.26310,0.03707
no_active_repair,7,192,0.68403,0.02823,0.07378,0.01481,0.28819,0.02771,0.30469,0.02736,0.12934,0.01848,0.03906,0.01163,0.00260,0.00293,0.74454,0.01534,0.13768,0.01442,0.14227,0.00140,0.25517,0.03474
no_active_repair,8,192,0.66146,0.02853,0.07552,0.01502,0.25955,0.02617,0.28993,0.02920,0.12153,0.01899,0.04080,0.01224,0.00260,0.00293,0.74429,0.01518,0.13824,0.01430,0.14169,0.00139,0.25199,0.03756
no_active_repair,9,192,0.66059,0.02929,0.07726,0.01669,0.24566,0.02664,0.28993,0.02745,0.11111,0.02023,0.04340,0.01194,0.00174,0.00240,0.74395,0.01534,0.13924,0.01569,0.14218,0.00144,0.25960,0.04247
no_burden_aware_query_value,0,192,0.67274,0.02858,0.08333,0.01756,0.49740,0.02949,0.24479,0.02338,0.14062,0.02084,0.01736,0.00901,0.06424,0.01401,1.27405,0.02242,0.13521,0.01689,0.12683,0.00127,0.12095,0.04165
no_burden_aware_query_value,1,192,0.68750,0.02808,0.08941,0.01771,0.48611,0.03167,0.22830,0.02417,0.15278,0.02254,0.02604,0.01042,0.07552,0.01502,1.27381,0.02233,0.14064,0.01688,0.12590,0.00120,0.13015,0.04262
no_burden_aware_query_value,2,192,0.67014,0.02771,0.07899,0.01466,0.49479,0.02924,0.25260,0.02642,0.15451,0.02231,0.02257,0.00910,0.06076,0.01282,1.27264,0.02228,0.13305,0.01433,0.12605,0.00130,0.11488,0.03797
no_burden_aware_query_value,3,192,0.67188,0.02739,0.07378,0.01576,0.49479,0.03135,0.23524,0.02521,0.11458,0.01894,0.02257,0.00910,0.06771,0.01451,1.27341,0.02223,0.12681,0.01535,0.12558,0.00129,0.14428,0.03469
no_burden_aware_query_value,4,192,0.67708,0.02901,0.08507,0.01618,0.49653,0.02823,0.26042,0.02594,0.14236,0.02171,0.03038,0.01060,0.05816,0.01339,1.27339,0.02234,0.13692,0.01577,0.12612,0.00123,0.11528,0.04127
no_burden_aware_query_value,5,192,0.68490,0.02658,0.08247,0.01689,0.52517,0.03221,0.24740,0.02708,0.11892,0.01894,0.02951,0.01105,0.07552,0.01650,1.27297,0.02239,0.13423,0.01635,0.12674,0.00118,0.12423,0.03848
no_burden_aware_query_value,6,192,0.70226,0.02677,0.05903,0.01426,0.49826,0.02905,0.26042,0.02491,0.15278,0.02368,0.02951,0.00994,0.07031,0.01534,1.27352,0.02226,0.11477,0.01404,0.12583,0.00118,0.16164,0.03751
no_burden_aware_query_value,7,192,0.66840,0.02905,0.06944,0.01606,0.49913,0.03159,0.24219,0.02695,0.14497,0.02059,0.02170,0.00930,0.07292,0.01556,1.27397,0.02230,0.12299,0.01567,0.12571,0.00123,0.12726,0.03786
no_burden_aware_query_value,8,192,0.68056,0.02624,0.07118,0.01497,0.50694,0.02923,0.23177,0.02458,0.11198,0.01742,0.01649,0.00888,0.07552,0.01541,1.27323,0.02240,0.12495,0.01497,0.12579,0.00121,0.15263,0.03636
no_burden_aware_query_value,9,192,0.66493,0.02905,0.07378,0.01666,0.50260,0.02940,0.24479,0.02529,0.11719,0.01838,0.02344,0.00953,0.07118,0.01417,1.27377,0.02233,0.12867,0.01541,0.12591,0.00130,0.12822,0.04096
no_calibration,0,192,0.68229,0.02688,0.10243,0.01801,0.27778,0.02928,0.27170,0.02441,0.17882,0.02110,0.02517,0.00944,0.00608,0.00443,0.78937,0.01613,0.20383,0.01488,0.12350,0.00116,0.21526,0.04089
no_calibration,1,192,0.68663,0.02611,0.08941,0.01616,0.28038,0.02641,0.25434,0.02598,0.16319,0.02313,0.02604,0.00924,0.00434,0.00376,0.78845,0.01623,0.19512,0.01368,0.12328,0.00122,0.24555,0.03934
no_calibration,2,192,0.65017,0.02735,0.07552,0.01596,0.27170,0.02546,0.25521,0.02541,0.15104,0.02133,0.01997,0.00874,0.00347,0.00338,0.78883,0.01622,0.18422,0.01348,0.12347,0.00124,0.23504,0.03603
no_calibration,3,192,0.67622,0.02937,0.07986,0.01618,0.26215,0.02681,0.25521,0.02506,0.16319,0.02144,0.02604,0.01014,0.00434,0.00376,0.78969,0.01617,0.18827,0.01323,0.12284,0.00120,0.25359,0.04057
no_calibration,4,192,0.68663,0.02600,0.07812,0.01505,0.25521,0.02586,0.25781,0.02505,0.16146,0.02102,0.02951,0.00994,0.00868,0.00525,0.78943,0.01625,0.18754,0.01265,0.12338,0.00121,0.26711,0.03686
no_calibration,5,192,0.68837,0.02529,0.10156,0.01913,0.27083,0.02777,0.27170,0.02625,0.17101,0.02281,0.02431,0.00901,0.00608,0.00443,0.78907,0.01617,0.20249,0.01558,0.12393,0.00122,0.22914,0.03835
no_calibration,6,192,0.68316,0.02605,0.09722,0.01950,0.26389,0.02635,0.29514,0.02707,0.16493,0.02211,0.02170,0.00899,0.00434,0.00376,0.79002,0.01628,0.19857,0.01584,0.12308,0.00114,0.22733,0.03748
no_calibration,7,192,0.68403,0.02750,0.08333,0.01689,0.24392,0.02685,0.28212,0.02381,0.15365,0.02210,0.03038,0.01261,0.00434,0.00447,0.78828,0.01609,0.18825,0.01447,0.12375,0.00118,0.25973,0.03929
no_calibration,8,192,0.66927,0.02466,0.09028,0.01754,0.27344,0.02554,0.25000,0.02495,0.15885,0.02241,0.02691,0.01023,0.00694,0.00472,0.78830,0.01616,0.19473,0.01443,0.12334,0.00121,0.23314,0.03899
no_calibration,9,192,0.67882,0.02910,0.07465,0.01380,0.24740,0.02609,0.23958,0.02537,0.17535,0.02154,0.01476,0.00753,0.00608,0.00443,0.78890,0.01613,0.18465,0.01207,0.12319,0.00128,0.27166,0.03960
no_capability_map,0,192,0.63194,0.02663,0.14757,0.02247,0.24913,0.02542,0.26302,0.02477,0.23611,0.02701,0.03212,0.01077,0.00087,0.00170,0.74916,0.01553,0.23003,0.01791,0.17535,0.00259,0.10871,0.04324
no_capability_map,1,192,0.62066,0.03015,0.13889,0.01980,0.24913,0.02587,0.25955,0.02672,0.23264,0.02642,0.02344,0.00856,0.00174,0.00240,0.74926,0.01557,0.22410,0.01620,0.17482,0.00266,0.11176,0.04174
no_capability_map,2,192,0.62760,0.02816,0.14670,0.02063,0.26997,0.02715,0.27344,0.02485,0.20833,0.02314,0.02778,0.01061,0.00434,0.00376,0.75036,0.01544,0.23007,0.01656,0.17468,0.00261,0.10441,0.04129
no_capability_map,3,192,0.65191,0.02737,0.12153,0.02032,0.24913,0.02598,0.28385,0.02824,0.24132,0.02790,0.03212,0.01104,0.00347,0.00338,0.74941,0.01558,0.20966,0.01639,0.17422,0.00262,0.14717,0.04238
no_capability_map,4,192,0.63628,0.02997,0.14844,0.02038,0.26215,0.02670,0.27257,0.02721,0.22049,0.02376,0.03559,0.01109,0.00087,0.00170,0.75028,0.01544,0.23145,0.01653,0.17520,0.00266,0.10844,0.04386
no_capability_map,5,192,0.63976,0.02708,0.12674,0.02011,0.25434,0.02598,0.26736,0.02518,0.24219,0.02629,0.02257,0.00844,0.00260,0.00293,0.74894,0.01558,0.21386,0.01624,0.17598,0.00254,0.13508,0.04057
no_capability_map,6,192,0.63976,0.02621,0.15799,0.02127,0.24740,0.02708,0.29253,0.02457,0.22309,0.02357,0.03385,0.01120,0.00174,0.00240,0.75037,0.01561,0.23732,0.01756,0.17426,0.00261,0.10051,0.03939
