ablation,seed,rows,success,ci95_success,physical_violation,ci95_physical_violation,human_burden,ci95_human_burden,intent_error,ci95_intent_error,overpromise,ci95_overpromise,autonomy_conflict,ci95_autonomy_conflict,unnecessary_query,ci95_unnecessary_query,negotiation_rounds,ci95_negotiation_rounds,ece,ci95_ece,regret,ci95_regret,utility,ci95_utility
no_capability_map,7,192,0.62934,0.02820,0.12934,0.01895,0.24479,0.02696,0.25955,0.02639,0.23438,0.02611,0.02431,0.00901,0.00260,0.00293,0.74905,0.01556,0.21568,0.01584,0.17471,0.00261,0.13183,0.04230
no_capability_map,8,192,0.63108,0.02633,0.15104,0.02133,0.25000,0.02507,0.27865,0.02666,0.20052,0.02419,0.02691,0.00965,0.00087,0.00170,0.74919,0.01557,0.23283,0.01723,0.17541,0.00255,0.11486,0.03611
no_capability_map,9,192,0.62326,0.02880,0.12153,0.01821,0.26910,0.02811,0.29601,0.02694,0.22396,0.02606,0.02951,0.01105,0.00174,0.00240,0.74904,0.01564,0.20967,0.01526,0.17505,0.00274,0.11362,0.04057
no_intent_belief,0,192,0.60938,0.02715,0.07726,0.01616,0.23438,0.02278,0.38889,0.02987,0.14410,0.02174,0.06944,0.01474,0.00347,0.00338,0.74018,0.01519,0.12081,0.01608,0.17694,0.00179,0.15867,0.03738
no_intent_belief,1,192,0.62153,0.02803,0.07986,0.01671,0.24566,0.02771,0.36285,0.02576,0.13455,0.01988,0.07465,0.01595,0.00087,0.00170,0.73958,0.01536,0.12244,0.01654,0.17661,0.00183,0.17516,0.03667
no_intent_belief,2,192,0.61632,0.02721,0.06424,0.01422,0.23264,0.02620,0.37847,0.02761,0.11198,0.01871,0.05903,0.01320,0.00174,0.00240,0.74206,0.01542,0.11078,0.01412,0.17589,0.00176,0.20121,0.03814
no_intent_belief,3,192,0.61719,0.03013,0.08507,0.01671,0.25260,0.02472,0.37066,0.02892,0.12153,0.01929,0.06771,0.01471,0.00087,0.00170,0.73972,0.01544,0.12881,0.01618,0.17696,0.00183,0.16651,0.04190
no_intent_belief,4,192,0.64497,0.02619,0.06771,0.01490,0.24392,0.02619,0.38715,0.03023,0.14236,0.02089,0.08333,0.01636,0.00347,0.00338,0.74065,0.01525,0.11225,0.01508,0.17754,0.00185,0.19799,0.03629
no_intent_belief,5,192,0.60243,0.02758,0.08247,0.01582,0.25347,0.02653,0.37587,0.02836,0.14062,0.02167,0.06597,0.01447,0.00087,0.00170,0.73983,0.01527,0.12637,0.01544,0.17699,0.00180,0.14466,0.03717
no_intent_belief,6,192,0.62760,0.02836,0.08420,0.01671,0.22656,0.02353,0.37760,0.02902,0.11372,0.01866,0.07118,0.01535,0.00174,0.00240,0.74025,0.01526,0.12672,0.01663,0.17655,0.00179,0.18973,0.03908
no_intent_belief,7,192,0.62153,0.02915,0.06684,0.01366,0.25260,0.02412,0.39236,0.02924,0.13194,0.02016,0.07292,0.01799,0.00174,0.00240,0.73875,0.01515,0.11143,0.01409,0.17664,0.00182,0.17743,0.03820
no_intent_belief,8,192,0.63455,0.02760,0.08160,0.01689,0.25608,0.02630,0.35156,0.02765,0.12847,0.02032,0.06944,0.01532,0.00174,0.00240,0.73970,0.01531,0.12522,0.01615,0.17670,0.00173,0.18919,0.03931
no_intent_belief,9,192,0.62674,0.02808,0.07986,0.01653,0.23872,0.02490,0.35677,0.02638,0.13021,0.02039,0.06510,0.01616,0.00174,0.00240,0.73985,0.01545,0.12264,0.01635,0.17673,0.00184,0.18994,0.04007
no_overpromise_risk,0,192,0.65278,0.02712,0.13889,0.02135,0.26823,0.02447,0.25694,0.02652,0.22743,0.02475,0.01042,0.00572,0.00087,0.00170,0.78191,0.01643,0.23505,0.01646,0.14448,0.00153,0.13965,0.04106
no_overpromise_risk,1,192,0.65365,0.02802,0.16319,0.02157,0.26215,0.02798,0.26649,0.02484,0.21094,0.02373,0.01823,0.00776,0.00174,0.00240,0.78375,0.01614,0.25302,0.01671,0.14331,0.00166,0.11809,0.04284
no_overpromise_risk,2,192,0.65278,0.02722,0.15972,0.02142,0.26215,0.02839,0.27344,0.02644,0.21788,0.02489,0.01823,0.00776,0.00347,0.00338,0.78311,0.01604,0.24990,0.01666,0.14401,0.00166,0.11532,0.04618
no_overpromise_risk,3,192,0.66059,0.02796,0.13455,0.02060,0.25087,0.02654,0.25347,0.02761,0.19271,0.02396,0.02083,0.00950,0.00347,0.00338,0.78203,0.01626,0.23146,0.01633,0.14367,0.00174,0.17303,0.04082
no_overpromise_risk,4,192,0.65451,0.02681,0.14844,0.02202,0.26910,0.02811,0.27517,0.02706,0.23177,0.02399,0.02257,0.00878,0.00434,0.00376,0.78360,0.01630,0.24401,0.01651,0.14308,0.00167,0.11812,0.03996
no_overpromise_risk,5,192,0.68056,0.02613,0.14236,0.02288,0.25174,0.02530,0.24826,0.02664,0.21788,0.02190,0.02170,0.00930,0.00087,0.00170,0.78173,0.01607,0.23696,0.01757,0.14429,0.00164,0.17536,0.03940
no_overpromise_risk,6,192,0.66406,0.02839,0.12674,0.02025,0.25087,0.02782,0.25087,0.02621,0.23351,0.02519,0.02257,0.00878,0.00174,0.00240,0.78363,0.01644,0.22782,0.01575,0.14308,0.00159,0.16809,0.04108
no_overpromise_risk,7,192,0.68837,0.02597,0.13628,0.01889,0.25868,0.02469,0.26215,0.02670,0.22656,0.02497,0.01562,0.00841,0.00087,0.00170,0.78246,0.01639,0.23457,0.01481,0.14369,0.00164,0.17951,0.04252
no_overpromise_risk,8,192,0.67708,0.02840,0.16059,0.02203,0.24045,0.02606,0.25087,0.02609,0.21701,0.02391,0.02604,0.01070,0.00000,0.00000,0.78272,0.01627,0.25172,0.01668,0.14351,0.00168,0.15547,0.04149
no_overpromise_risk,9,192,0.66667,0.02587,0.13802,0.02085,0.25434,0.02375,0.27257,0.02612,0.21701,0.02463,0.01997,0.00840,0.00174,0.00240,0.78204,0.01642,0.23292,0.01654,0.14398,0.00178,0.15722,0.03677
no_role_negotiation,0,192,0.66146,0.02728,0.07986,0.01563,0.26997,0.02682,0.28472,0.02695,0.15191,0.02285,0.08333,0.01756,0.00174,0.00240,0.66437,0.01446,0.14523,0.01510,0.15887,0.00204,0.22367,0.03735
no_role_negotiation,1,192,0.64670,0.02975,0.09722,0.01694,0.28993,0.02670,0.27517,0.02630,0.14583,0.02110,0.08247,0.01671,0.00260,0.00293,0.66331,0.01452,0.15931,0.01603,0.15775,0.00209,0.18672,0.03895
no_role_negotiation,2,192,0.63194,0.02913,0.10243,0.01941,0.30642,0.02793,0.27691,0.02777,0.13715,0.02117,0.06424,0.01422,0.00260,0.00293,0.66262,0.01455,0.16498,0.01738,0.15758,0.00201,0.16665,0.04064
no_role_negotiation,3,192,0.62326,0.02454,0.08247,0.01723,0.30035,0.02556,0.26736,0.02553,0.12674,0.02054,0.06684,0.01469,0.00000,0.00000,0.66329,0.01446,0.14890,0.01577,0.15735,0.00219,0.19030,0.03611
no_role_negotiation,4,192,0.63281,0.02880,0.09201,0.01801,0.30208,0.02747,0.28299,0.02612,0.13281,0.02111,0.07205,0.01574,0.00347,0.00338,0.66247,0.01444,0.15654,0.01647,0.15843,0.00206,0.17842,0.03976
no_role_negotiation,5,192,0.64497,0.02853,0.08420,0.01654,0.31163,0.02770,0.24566,0.02586,0.12847,0.02046,0.08507,0.01654,0.00434,0.00376,0.66329,0.01440,0.14952,0.01555,0.15886,0.00206,0.20601,0.04004
no_role_negotiation,6,192,0.64410,0.02877,0.09201,0.01614,0.28038,0.02727,0.29340,0.02454,0.13194,0.02073,0.08333,0.01487,0.00347,0.00338,0.66402,0.01464,0.15593,0.01534,0.15731,0.00206,0.19333,0.03949
no_role_negotiation,7,192,0.64236,0.02894,0.09549,0.01764,0.29514,0.02642,0.27083,0.02849,0.14583,0.02137,0.07378,0.01683,0.00347,0.00338,0.66299,0.01446,0.15849,0.01613,0.15802,0.00208,0.18556,0.04219
no_role_negotiation,8,192,0.64149,0.02722,0.07552,0.01443,0.28385,0.02599,0.26910,0.02662,0.13628,0.02066,0.08160,0.01671,0.00260,0.00293,0.66335,0.01453,0.14328,0.01386,0.15738,0.00213,0.21452,0.03605
no_role_negotiation,9,192,0.68316,0.02725,0.08160,0.01654,0.31337,0.03024,0.26736,0.02598,0.13455,0.02275,0.08507,0.01739,0.00347,0.00338,0.66382,0.01455,0.14702,0.01563,0.15802,0.00217,0.23623,0.03947
shared_autonomy_only,0,192,0.60417,0.02681,0.12500,0.01960,0.26997,0.02693,0.33247,0.02670,0.19792,0.02715,0.07292,0.01665,0.01389,0.00696,0.71486,0.01254,0.25004,0.01423,0.20734,0.00215,0.07405,0.03895
shared_autonomy_only,1,192,0.59115,0.02933,0.13108,0.02034,0.27691,0.02513,0.32205,0.02698,0.21094,0.02445,0.06163,0.01435,0.01302,0.00679,0.71447,0.01272,0.25350,0.01510,0.20620,0.00235,0.05254,0.04078
shared_autonomy_only,2,192,0.59375,0.02778,0.15451,0.02256,0.25694,0.02422,0.32812,0.02812,0.21441,0.02271,0.04253,0.01188,0.01302,0.00634,0.71383,0.01270,0.27036,0.01565,0.20724,0.00226,0.04027,0.04211
shared_autonomy_only,3,192,0.58420,0.03013,0.15191,0.02168,0.27951,0.02697,0.29427,0.02612,0.21875,0.02384,0.08333,0.01756,0.00521,0.00411,0.71455,0.01270,0.26792,0.01536,0.20612,0.00231,0.02372,0.04490
shared_autonomy_only,4,192,0.61806,0.02903,0.12413,0.01993,0.27778,0.02701,0.32292,0.02594,0.21528,0.02493,0.06597,0.01486,0.00608,0.00443,0.71474,0.01266,0.24964,0.01449,0.20676,0.00230,0.08461,0.03903
shared_autonomy_only,5,192,0.60243,0.02922,0.12674,0.01967,0.25000,0.02237,0.28299,0.02721,0.21875,0.02396,0.06424,0.01482,0.01215,0.00615,0.71551,0.01258,0.25284,0.01403,0.20747,0.00228,0.09053,0.03952
shared_autonomy_only,6,192,0.62326,0.02756,0.12847,0.02061,0.25260,0.02750,0.30903,0.02642,0.21094,0.02272,0.07031,0.01626,0.00694,0.00472,0.71457,0.01261,0.25326,0.01472,0.20661,0.00227,0.10201,0.03991
shared_autonomy_only,7,192,0.59896,0.02986,0.12760,0.02078,0.25174,0.02564,0.31337,0.02709,0.20920,0.02510,0.07552,0.01685,0.01128,0.00641,0.71451,0.01262,0.25242,0.01484,0.20721,0.00220,0.07602,0.03923
shared_autonomy_only,8,192,0.59115,0.02684,0.11458,0.01847,0.25347,0.02697,0.32465,0.02727,0.19792,0.02537,0.06771,0.01451,0.01649,0.00746,0.71515,0.01256,0.24331,0.01389,0.20729,0.00220,0.08357,0.03896
shared_autonomy_only,9,192,0.59983,0.02955,0.11979,0.01844,0.26910,0.02694,0.32465,0.02662,0.20312,0.02523,0.07205,0.01498,0.01476,0.00713,0.71529,0.01256,0.24778,0.01354,0.20654,0.00241,0.07625,0.04082
v4_affordance_negotiation_rules,0,192,0.62326,0.02798,0.10417,0.01845,0.28993,0.02670,0.30122,0.02653,0.17969,0.02249,0.04253,0.01188,0.00694,0.00472,0.81033,0.01507,0.20419,0.01503,0.17511,0.00172,0.13219,0.04122
v4_affordance_negotiation_rules,1,192,0.64236,0.02884,0.10069,0.01868,0.28993,0.02648,0.31944,0.02679,0.16059,0.02405,0.03906,0.01212,0.00434,0.00376,0.81034,0.01527,0.20112,0.01490,0.17441,0.00172,0.15841,0.03943
v4_affordance_negotiation_rules,2,192,0.61979,0.02929,0.10330,0.01799,0.30556,0.02786,0.32205,0.02565,0.17188,0.02223,0.04253,0.01259,0.00781,0.00555,0.80979,0.01502,0.20342,0.01496,0.17459,0.00178,0.11841,0.04355
v4_affordance_negotiation_rules,3,192,0.65365,0.02823,0.12066,0.01887,0.30035,0.02498,0.31163,0.02843,0.18056,0.02380,0.04080,0.01271,0.00694,0.00472,0.81053,0.01511,0.21622,0.01537,0.17481,0.00180,0.13618,0.03952
v4_affordance_negotiation_rules,4,192,0.60851,0.02933,0.10330,0.01647,0.28819,0.03013,0.28906,0.02504,0.18056,0.02380,0.05382,0.01299,0.00781,0.00555,0.81073,0.01512,0.20535,0.01332,0.17514,0.00186,0.11971,0.04129
v4_affordance_negotiation_rules,5,192,0.60330,0.03000,0.13108,0.02049,0.30729,0.03010,0.30642,0.02665,0.18750,0.02269,0.03646,0.01240,0.01042,0.00572,0.80918,0.01508,0.22324,0.01650,0.17590,0.00168,0.07066,0.04345
v4_affordance_negotiation_rules,6,192,0.61632,0.02667,0.10503,0.01625,0.27865,0.02666,0.28125,0.02736,0.19358,0.02339,0.04861,0.01340,0.00434,0.00376,0.81049,0.01513,0.20462,0.01370,0.17439,0.00172,0.12939,0.03874
v4_affordance_negotiation_rules,7,192,0.62934,0.02758,0.11545,0.01966,0.30816,0.02764,0.31424,0.02584,0.18576,0.02260,0.04688,0.01308,0.01042,0.00748,0.81013,0.01512,0.21265,0.01576,0.17544,0.00175,0.10850,0.04324
v4_affordance_negotiation_rules,8,192,0.62934,0.02737,0.10590,0.01793,0.26562,0.02566,0.27865,0.02566,0.18403,0.02375,0.03819,0.01205,0.00955,0.00549,0.80985,0.01504,0.20531,0.01464,0.17521,0.00169,0.15426,0.03797
v4_affordance_negotiation_rules,9,192,0.62326,0.02839,0.09983,0.01757,0.29514,0.02750,0.29080,0.02451,0.17795,0.02364,0.04948,0.01387,0.00955,0.00549,0.80970,0.01521,0.20105,0.01460,0.17564,0.00187,0.13657,0.04231
