stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6710,0.0129
0.0,conformal_risk_filter,0.7150,0.0126
0.0,proposed_branch_mechanism,0.7502,0.0093
0.0,oracle_branch_upper_bound,0.8026,0.0109
0.2,scalar_uncertainty_planner,0.6140,0.0199
0.2,conformal_risk_filter,0.6695,0.0102
0.2,proposed_branch_mechanism,0.7171,0.0106
0.2,oracle_branch_upper_bound,0.7836,0.0100
0.4,scalar_uncertainty_planner,0.5643,0.0149
0.4,conformal_risk_filter,0.6281,0.0079
0.4,proposed_branch_mechanism,0.6871,0.0129
0.4,oracle_branch_upper_bound,0.7629,0.0128
0.6,scalar_uncertainty_planner,0.5095,0.0132
0.6,conformal_risk_filter,0.5810,0.0080
0.6,proposed_branch_mechanism,0.6593,0.0111
0.6,oracle_branch_upper_bound,0.7417,0.0107
0.8,scalar_uncertainty_planner,0.4538,0.0126
0.8,conformal_risk_filter,0.5421,0.0091
0.8,proposed_branch_mechanism,0.6329,0.0095
0.8,oracle_branch_upper_bound,0.7186,0.0092
1.0,scalar_uncertainty_planner,0.4012,0.0116
1.0,conformal_risk_filter,0.4926,0.0108
1.0,proposed_branch_mechanism,0.6060,0.0082
1.0,oracle_branch_upper_bound,0.6976,0.0105
